customerid,lasttouch,leadscore,city,nps_score,clv
C00449,2025-09-06 23:14:55,94,Khobar,56,14360.09
C00450,2025-07-21 23:14:55,79,Khobar,66,10324.86
C00451,2025-01-29 23:14:55,18,Khobar,29,3150.93
C00452,2025-06-03 23:14:55,93,Mecca,64,1048.07
C00453,2025-02-02 23:14:55,41,Dammam,66,4394.58
C00454,2025-01-20 23:14:55,61,Mecca,67,8061.01
C00455,2024-12-13 23:14:55,98,Mecca,90,11736.62
C00456,2025-04-01 23:14:55,48,Dammam,78,6165.62
C00457,2025-09-13 23:14:55,64,Mecca,92,12396.27
C00458,2024-09-17 23:14:55,92,Riyadh,56,11706.16
C00459,2025-02-26 23:14:55,72,Jeddah,47,6861.62
C00460,2024-10-01 23:14:55,33,Medina,33,10617.88
C00461,2025-01-12 23:14:55,60,Riyadh,35,7203.76
C00462,2025-05-04 23:14:55,35,Mecca,37,11903.52
C00463,2025-04-11 23:14:55,20,Dammam,81,2438.26
C00464,2024-10-04 23:14:55,33,Riyadh,66,5468.5
C00465,2025-04-17 23:14:55,54,Jeddah,90,12149.33
C00466,2024-12-27 23:14:55,52,Riyadh,22,1907.41
C00467,2025-06-13 23:14:55,84,Dammam,94,8574.97
C00468,2025-09-06 23:14:55,88,Medina,31,198.02
C00469,2025-07-20 23:14:55,17,Medina,41,5707.94
C00470,2024-11-19 23:14:55,97,Medina,25,244.61
C00471,2025-07-23 23:14:55,87,Riyadh,94,500.56
C00472,2024-09-10 23:14:55,39,Khobar,92,14246.13
C00473,2024-11-30 23:14:55,81,Dammam,51,4613.58
C00474,2025-05-28 23:14:55,86,Dammam,24,6380.54
C00475,2025-09-13 23:14:55,67,Jeddah,80,12545.73
C00476,2025-08-11 23:14:55,78,Riyadh,79,2681.24
C00477,2024-11-13 23:14:55,72,Riyadh,26,2883.04
C00478,2025-04-06 23:14:55,17,Jeddah,67,8202.01
C00479,2024-08-18 23:14:55,90,Dammam,84,11077.59
C00480,2024-10-08 23:14:55,15,Khobar,41,3790.53
C00481,2025-02-21 23:14:55,95,Medina,95,4299.78
C00482,2025-05-30 23:14:55,88,Jeddah,100,11411.26
C00483,2024-08-21 23:14:55,70,Riyadh,57,2750.71
C00484,2025-03-31 23:14:55,72,Mecca,82,8922.99
C00485,2024-09-06 23:14:55,75,Medina,48,193.08
C00486,2024-10-19 23:14:55,26,Jeddah,33,4153.23
C00487,2025-06-01 23:14:55,75,Dammam,40,13928.69
C00488,2025-06-05 23:14:55,40,Khobar,41,1404.22
C00489,2024-09-11 23:14:55,14,Medina,28,12667.9
C00490,2025-05-25 23:14:55,80,Jeddah,69,13378.57
C00491,2024-10-23 23:14:55,75,Riyadh,40,2092.38
C00492,2025-01-18 23:14:55,32,Jeddah,51,5185.5
C00493,2025-07-24 23:14:55,18,Dammam,96,13110.21
C00494,2025-06-07 23:14:55,62,Mecca,32,4278.26
C00495,2025-03-30 23:14:55,59,Jeddah,37,8817.94
C00496,2024-12-02 23:14:55,79,Jeddah,39,3745.37
C00497,2025-03-24 23:14:55,36,Dammam,29,13888.7
C00498,2024-10-20 23:14:55,91,Mecca,52,4423.21
C00499,2025-04-09 23:14:55,100,Dammam,69,9015.16
C00500,2025-04-13 23:14:55,75,Mecca,87,3052.45
C00501,2025-02-25 23:14:55,35,Dammam,56,7355.61
C00502,2025-02-05 23:14:55,80,Dammam,87,923.65
C00503,2025-01-15 23:14:55,68,Mecca,31,916.31
C00504,2024-12-08 23:14:55,65,Riyadh,96,5916.66
C00505,2025-05-03 23:14:55,15,Jeddah,70,5465.33
C00506,2025-08-31 23:14:55,16,Medina,38,2999.99
C00507,2025-02-19 23:14:55,48,Khobar,30,4516.64
C00508,2025-08-27 23:14:55,70,Jeddah,78,1694.13
C00509,2025-05-07 23:14:55,28,Riyadh,30,10671.63
C00510,2025-09-02 23:14:55,50,Dammam,59,3712.57
C00511,2024-08-29 23:14:55,20,Jeddah,44,6664.4
C00512,2024-12-28 23:14:55,39,Dammam,53,13374.83
C00513,2024-11-15 23:14:55,90,Jeddah,82,10518.48
C00514,2024-11-24 23:14:55,29,Riyadh,39,9187.24
C00515,2025-08-14 23:14:55,79,Mecca,25,6646.89
C00516,2024-12-10 23:14:55,57,Medina,84,14229.18
C00517,2025-04-01 23:14:55,88,Khobar,100,9005.02
C00518,2024-10-01 23:14:55,88,Dammam,42,7738.16
C00519,2024-10-03 23:14:55,96,Dammam,39,1810.65
C00520,2025-01-20 23:14:55,65,Mecca,95,12658.1
C00521,2025-08-15 23:14:55,39,Dammam,88,13055.19
C00522,2025-05-03 23:14:55,72,Medina,87,6485.12
C00523,2025-02-16 23:14:55,45,Mecca,74,11799.92
C00524,2024-09-09 23:14:55,60,Dammam,35,5011.94
C00525,2024-10-17 23:14:55,16,Medina,28,8006.64
C00526,2025-09-02 23:14:55,53,Mecca,21,3594.86
C00527,2025-08-27 23:14:55,89,Mecca,21,14347.51
C00528,2025-01-01 23:14:55,78,Khobar,71,1073.59
C00529,2025-07-26 23:14:55,99,Mecca,52,373.97
C00530,2025-01-19 23:14:55,65,Mecca,77,353.48
C00531,2025-04-12 23:14:55,94,Khobar,79,356.99
C00532,2024-12-28 23:14:55,26,Jeddah,70,14831.62
C00533,2025-01-09 23:14:55,48,Mecca,72,11870.47
C00534,2025-03-05 23:14:55,29,Medina,37,9959.15
C00535,2025-03-20 23:14:55,15,Dammam,77,3943.42
C00536,2025-02-03 23:14:55,31,Mecca,31,8474.43
C00537,2024-11-24 23:14:55,41,Medina,89,11129.35
C00538,2024-08-29 23:14:55,97,Khobar,60,8578.16
C00539,2025-09-07 23:14:55,19,Riyadh,70,7630.11
C00540,2025-05-06 23:14:55,82,Dammam,76,966.75
C00541,2025-08-11 23:14:55,85,Medina,95,1968.95
C00542,2025-01-09 23:14:55,51,Riyadh,35,1595.21
C00543,2025-08-05 23:14:55,42,Dammam,57,12862.41
C00544,2025-09-01 23:14:55,34,Khobar,56,2710.75
C00545,2025-01-23 23:14:55,50,Medina,100,6099.14
C00546,2025-06-02 23:14:55,98,Dammam,34,10970.59
C00547,2024-08-17 23:14:55,16,Dammam,35,7003.22
C00548,2025-02-28 23:14:55,10,Khobar,43,6629.09
C00549,2025-07-29 23:14:55,97,Medina,36,14952.81
C00550,2025-08-06 23:14:55,54,Mecca,55,599.1
C00551,2024-10-31 23:14:55,75,Dammam,66,6041.76
C00552,2025-08-02 23:14:55,10,Dammam,49,8868.61
C00553,2025-06-02 23:14:55,48,Jeddah,91,1872.5
C00554,2025-08-14 23:14:55,41,Jeddah,44,4716.08
C00555,2025-03-23 23:14:55,36,Medina,93,2874.84
C00556,2024-10-23 23:14:55,70,Riyadh,59,10833.23
C00557,2025-07-02 23:14:55,21,Jeddah,75,5461.95
C00558,2024-11-19 23:14:55,74,Jeddah,32,1319.1
C00559,2024-09-02 23:14:55,71,Medina,92,11345.68
C00560,2025-06-04 23:14:55,59,Khobar,76,10006.76
C00561,2024-12-20 23:14:55,93,Dammam,96,5157.23
C00562,2025-01-30 23:14:55,87,Mecca,38,14762.03
C00563,2025-08-14 23:14:55,59,Jeddah,50,9290.47
C00564,2025-03-02 23:14:55,95,Mecca,89,2046.55
C00565,2024-12-20 23:14:55,19,Dammam,83,12177.5
C00566,2024-10-23 23:14:55,33,Mecca,98,7416.51
C00567,2025-05-25 23:14:55,18,Mecca,31,10225.3
C00568,2024-08-29 23:14:55,75,Jeddah,41,4949.74
C00569,2024-12-12 23:14:55,47,Jeddah,47,4215.86
C00570,2025-06-11 23:14:55,21,Khobar,35,14594.2
C00571,2025-07-27 23:14:55,98,Medina,89,12930.12
C00572,2024-09-04 23:14:55,33,Medina,88,7899.55
C00573,2025-06-19 23:14:55,85,Riyadh,32,3927.32
C00574,2025-04-07 23:14:55,69,Mecca,25,9694.13
C00575,2025-04-03 23:14:55,46,Mecca,51,3178.98
C00576,2025-07-28 23:14:55,29,Mecca,61,8860.8
C00577,2025-03-14 23:14:55,93,Mecca,57,2924.69
C00578,2024-09-22 23:14:55,45,Dammam,57,10637.63
C00579,2024-08-31 23:14:55,88,Dammam,43,2649.09
C00580,2025-01-18 23:14:55,75,Riyadh,34,12264.7
C00581,2025-03-28 23:14:55,13,Dammam,90,8776.13
C00582,2024-09-24 23:14:55,94,Riyadh,96,10670.2
C00583,2024-09-04 23:14:55,16,Khobar,89,10334.5
C00584,2025-08-02 23:14:55,61,Mecca,100,14992.17
C00585,2025-06-23 23:14:55,41,Riyadh,47,6057.87
C00586,2025-05-11 23:14:55,57,Jeddah,32,11080.29
C00587,2025-08-22 23:14:55,69,Medina,47,7719.37
C00588,2025-08-12 23:14:55,50,Jeddah,47,4365.41
C00589,2025-05-28 23:14:55,56,Jeddah,74,7186.41
C00590,2024-11-14 23:14:55,46,Mecca,29,5205.58
C00591,2024-10-05 23:14:55,10,Medina,98,4559.57
C00592,2025-07-27 23:14:55,66,Medina,55,5540.75
C00593,2025-02-16 23:14:55,35,Dammam,82,8356.49
C00594,2025-08-25 23:14:55,25,Dammam,86,7292.21
C00595,2025-07-26 23:14:55,51,Jeddah,31,3443.64
C00596,2025-09-09 23:14:55,10,Medina,70,2875.61
C00597,2025-08-26 23:14:55,85,Medina,73,12003.2
C00598,2025-07-26 23:14:55,32,Medina,95,14214.34
C00599,2025-06-21 23:14:55,58,Riyadh,39,10272.04
C00600,2025-05-20 23:14:55,59,Dammam,34,8171.48
C00601,2025-07-19 23:14:55,56,Riyadh,76,8924.66
C00602,2025-01-30 23:14:55,62,Khobar,56,13890.0
C00603,2025-06-02 23:14:55,69,Khobar,87,10736.64
C00604,2025-04-05 23:14:55,14,Riyadh,77,13716.89
C00605,2024-09-17 23:14:55,13,Khobar,59,6939.17
C00606,2025-03-19 23:14:55,30,Mecca,45,11354.04
C00607,2025-09-09 23:14:55,41,Khobar,46,10399.26
C00608,2025-04-06 23:14:55,90,Riyadh,22,1625.08
C00609,2025-05-20 23:14:55,31,Riyadh,92,134.49
C00610,2025-08-19 23:14:55,23,Jeddah,34,10593.69
C00611,2025-04-30 23:14:55,88,Dammam,50,4238.24
C00612,2024-10-26 23:14:55,55,Mecca,84,13653.26
C00613,2025-06-28 23:14:55,27,Jeddah,30,12993.36
C00614,2025-08-02 23:14:55,57,Khobar,29,1597.51
C00615,2024-12-05 23:14:55,79,Dammam,20,10526.2
C00616,2024-12-10 23:14:55,82,Khobar,63,13892.07
C00617,2025-02-27 23:14:55,62,Dammam,67,9037.34
C00618,2024-09-18 23:14:55,38,Khobar,63,5965.99
C00619,2025-07-27 23:14:55,100,Dammam,54,13013.79
C00620,2025-09-01 23:14:55,80,Riyadh,32,4554.38
C00621,2025-03-18 23:14:55,26,Medina,90,5915.94
C00622,2025-02-19 23:14:55,78,Riyadh,95,2384.26
C00623,2025-07-31 23:14:55,71,Dammam,59,3968.31
C00624,2024-09-08 23:14:55,12,Mecca,81,3809.94
C00625,2024-10-06 23:14:55,52,Dammam,42,2125.68
C00626,2024-11-07 23:14:55,89,Medina,53,9927.76
C00627,2024-10-17 23:14:55,79,Khobar,94,6670.48
C00628,2025-05-19 23:14:55,82,Riyadh,35,5706.22
C00629,2025-08-20 23:14:55,67,Dammam,70,8554.25
C00630,2025-08-02 23:14:55,98,Jeddah,73,4922.22
C00631,2024-12-02 23:14:55,69,Medina,23,11239.28
C00632,2025-08-07 23:14:55,54,Riyadh,36,13894.6
C00633,2025-03-19 23:14:55,16,Khobar,73,3709.84
C00634,2025-03-25 23:14:55,48,Medina,34,9539.17
C00635,2024-09-15 23:14:55,65,Khobar,76,7910.08
C00636,2024-10-26 23:14:55,52,Dammam,48,441.42
C00637,2025-04-11 23:14:55,50,Medina,69,7006.63
C00638,2025-03-21 23:14:55,92,Mecca,94,7720.33
C00639,2024-09-30 23:14:55,18,Jeddah,91,14114.53
C00640,2025-02-19 23:14:55,41,Khobar,37,9617.03
C00641,2024-08-22 23:14:55,36,Mecca,45,4813.93
C00642,2024-12-13 23:14:55,93,Dammam,65,1392.54
C00643,2025-07-17 23:14:55,26,Mecca,79,3934.83
C00644,2024-12-25 23:14:55,93,Dammam,32,5783.13
C00645,2025-02-10 23:14:55,89,Jeddah,87,5552.28
C00646,2025-09-01 23:14:55,53,Mecca,74,10005.2
C00647,2025-09-10 23:14:55,52,Mecca,93,8481.01
C00648,2024-09-04 23:14:55,34,Dammam,38,13176.76
C00649,2024-10-19 23:14:55,18,Riyadh,93,6956.08
C00650,2025-04-27 23:14:55,61,Dammam,67,14656.39
C00651,2025-05-31 23:14:55,90,Khobar,87,2262.26
C00652,2025-02-16 23:14:55,86,Jeddah,25,2403.47
C00653,2024-12-18 23:14:55,66,Jeddah,70,1422.36
C00654,2024-09-21 23:14:55,89,Jeddah,76,14683.7
C00655,2025-02-14 23:14:55,78,Riyadh,31,3357.54
C00656,2024-11-29 23:14:55,24,Dammam,22,1996.12
C00657,2025-08-24 23:14:55,79,Jeddah,83,10750.89
C00658,2025-08-28 23:14:55,32,Riyadh,88,8862.53
C00659,2025-05-17 23:14:55,63,Khobar,62,9686.31
C00660,2025-09-04 23:14:55,15,Mecca,51,1011.69
C00661,2025-09-03 23:14:55,78,Jeddah,60,6878.59
C00662,2024-12-03 23:14:55,30,Riyadh,60,7880.44
C00663,2025-07-03 23:14:55,33,Medina,22,7709.98
C00664,2024-10-21 23:14:55,58,Khobar,65,1935.54
C00665,2025-08-17 23:14:55,68,Mecca,83,4429.28
C00666,2024-12-20 23:14:55,59,Riyadh,26,2737.39
C00667,2024-08-25 23:14:55,62,Jeddah,49,7152.36
C00668,2024-12-27 23:14:55,21,Jeddah,31,12478.55
C00669,2024-10-10 23:14:55,90,Dammam,69,14959.68
C00670,2025-08-17 23:14:55,97,Jeddah,97,6595.55
C00671,2025-01-30 23:14:55,41,Dammam,42,9858.19
C00672,2025-03-08 23:14:55,57,Medina,83,11335.02
C00673,2024-11-16 23:14:55,70,Khobar,54,8361.3
C00674,2025-05-06 23:14:55,10,Jeddah,86,5443.95
C00675,2024-08-25 23:14:55,33,Khobar,87,6283.86
C00676,2024-11-10 23:14:55,77,Medina,36,6615.5
C00677,2025-02-16 23:14:55,10,Riyadh,68,5116.38
C00678,2025-02-03 23:14:55,75,Medina,40,11530.59
C00679,2024-11-01 23:14:55,86,Medina,75,7085.77
C00680,2024-12-20 23:14:55,32,Riyadh,59,1613.3
C00681,2024-09-03 23:14:55,99,Medina,99,6942.16
C00682,2024-09-05 23:14:55,61,Mecca,84,13835.4
C00683,2025-05-02 23:14:55,31,Mecca,87,8108.03
C00684,2024-12-26 23:14:55,97,Khobar,96,2468.97
C00685,2024-11-26 23:14:55,77,Mecca,70,13324.83
C00686,2024-09-25 23:14:55,29,Dammam,57,1870.33
C00687,2024-11-07 23:14:55,55,Khobar,56,13927.51
C00688,2024-10-28 23:14:55,56,Mecca,80,1087.05
C00689,2025-02-02 23:14:55,31,Medina,71,8563.89
C00690,2025-01-20 23:14:55,32,Jeddah,88,14893.09
C00691,2025-07-05 23:14:55,56,Mecca,82,6449.36
C00692,2024-08-18 23:14:55,54,Riyadh,62,12825.49
C00693,2025-08-11 23:14:55,43,Medina,75,13687.0
C00694,2024-11-07 23:14:55,85,Dammam,84,3479.4
C00695,2025-04-29 23:14:55,35,Jeddah,27,8940.76
C00696,2024-11-13 23:14:55,54,Medina,49,2416.55
C00697,2024-12-10 23:14:55,83,Mecca,50,1633.8
C00698,2024-10-17 23:14:55,56,Medina,51,748.51
C00699,2024-10-08 23:14:55,75,Jeddah,68,11502.79
C00700,2025-03-09 23:14:55,43,Riyadh,89,3170.3
C00701,2025-05-18 23:14:55,95,Khobar,84,8448.11
C00702,2025-02-08 23:14:55,73,Medina,33,9078.9
C00703,2025-01-04 23:14:55,46,Mecca,42,5487.07
C00704,2025-08-02 23:14:55,75,Khobar,74,9378.72
C00705,2024-08-28 23:14:55,52,Dammam,72,5702.15
C00706,2025-01-14 23:14:55,22,Medina,77,9855.54
C00707,2024-09-03 23:14:55,26,Medina,58,12840.82
C00708,2024-10-04 23:14:55,15,Medina,98,6880.7
C00709,2025-03-18 23:14:55,76,Dammam,68,1665.43
C00710,2025-05-10 23:14:55,93,Khobar,92,3489.64
C00711,2025-01-16 23:14:55,43,Riyadh,94,5492.28
C00712,2025-08-23 23:14:55,16,Medina,58,4622.11
C00713,2025-08-12 23:14:55,79,Jeddah,65,9502.47
C00714,2025-09-09 23:14:55,64,Medina,24,2945.03
C00715,2025-01-01 23:14:55,93,Jeddah,96,7813.94
C00716,2025-05-14 23:14:55,58,Medina,49,12607.44
C00717,2024-12-18 23:14:55,61,Medina,30,4870.3
C00718,2025-02-06 23:14:55,50,Dammam,89,7685.44
C00719,2025-01-14 23:14:55,87,Khobar,44,4415.54
C00720,2025-08-29 23:14:55,90,Dammam,52,8333.25
C00721,2024-11-08 23:14:55,41,Medina,89,10670.02
C00722,2025-08-08 23:14:55,35,Dammam,80,296.05
C00723,2024-12-20 23:14:55,70,Dammam,23,3472.61
C00724,2024-10-11 23:14:55,34,Mecca,26,11494.84
C00725,2025-07-31 23:14:55,45,Khobar,28,1726.51
C00726,2025-06-29 23:14:55,59,Dammam,100,894.35
C00727,2024-09-24 23:14:55,15,Medina,69,7934.2
C00728,2024-09-14 23:14:55,20,Medina,80,9306.33
C00729,2025-02-11 23:14:55,44,Khobar,71,7522.15
C00730,2024-08-13 23:14:55,53,Jeddah,83,11971.25
C00731,2025-06-19 23:14:55,10,Riyadh,64,543.57
C00732,2025-08-13 23:14:55,78,Riyadh,24,13234.07
C00733,2025-08-26 23:14:55,18,Dammam,87,9826.28
C00734,2025-02-11 23:14:55,10,Khobar,71,2816.97
C00735,2025-07-15 23:14:55,25,Medina,98,9069.27
C00736,2025-03-01 23:14:55,78,Khobar,91,7226.73
C00737,2025-09-11 23:14:55,87,Medina,25,8757.71
C00738,2025-04-09 23:14:55,30,Mecca,51,2287.55
C00739,2025-02-16 23:14:55,91,Jeddah,72,3389.66
C00740,2025-04-23 23:14:55,54,Dammam,71,4664.84
C00741,2025-08-26 23:14:55,91,Khobar,100,4014.49
C00742,2025-08-27 23:14:55,100,Dammam,81,8898.13
C00743,2025-04-16 23:14:55,28,Jeddah,64,12718.32
C00744,2025-07-03 23:14:55,26,Jeddah,21,2539.51
C00745,2025-05-20 23:14:55,89,Dammam,61,11759.04
C00746,2025-08-31 23:14:55,70,Khobar,72,13527.39
C00747,2024-09-30 23:14:55,41,Dammam,63,8539.36
C00748,2025-06-28 23:14:55,56,Dammam,73,13933.47
C00749,2024-10-19 23:14:55,75,Medina,45,10344.85
C00750,2025-01-16 23:14:55,15,Dammam,35,11769.86
C00751,2025-01-24 23:14:55,71,Dammam,59,4697.51
C00752,2024-10-21 23:14:55,63,Riyadh,74,2324.44
C00753,2025-04-20 23:14:55,99,Khobar,61,10914.09
C00754,2024-12-24 23:14:55,49,Jeddah,86,12316.56
C00755,2024-10-28 23:14:55,44,Dammam,81,9706.54
C00756,2025-02-07 23:14:55,91,Dammam,93,10400.32
C00757,2025-02-10 23:14:55,22,Khobar,83,10163.65
C00758,2025-03-05 23:14:55,80,Riyadh,41,10094.97
C00759,2024-10-23 23:14:55,61,Jeddah,88,12701.9
C00760,2025-08-12 23:14:55,43,Riyadh,34,14120.5
C00761,2025-03-29 23:14:55,94,Mecca,23,13776.85
C00762,2024-10-23 23:14:55,47,Riyadh,62,13126.21
C00763,2025-09-06 23:14:55,11,Mecca,56,10134.53
C00764,2025-07-27 23:14:55,72,Mecca,44,9631.37
C00765,2025-01-22 23:14:55,52,Dammam,94,14195.46
C00766,2025-07-23 23:14:55,91,Riyadh,41,7931.76
C00767,2025-02-10 23:14:55,99,Medina,29,3468.2
C00768,2024-08-19 23:14:55,76,Jeddah,86,3191.8
C00769,2025-03-24 23:14:55,52,Riyadh,77,585.82
C00770,2025-02-10 23:14:55,13,Mecca,32,6435.79
C00771,2024-10-10 23:14:55,88,Riyadh,99,11183.35
C00772,2024-09-08 23:14:55,57,Medina,93,4492.35
C00773,2025-06-19 23:14:55,54,Dammam,51,4907.32
C00774,2025-07-05 23:14:55,56,Medina,50,6774.39
C00775,2024-11-04 23:14:55,48,Medina,39,480.31
C00776,2024-09-16 23:14:55,59,Riyadh,65,9373.49
C00777,2024-11-18 23:14:55,85,Khobar,61,9787.99
C00778,2025-04-23 23:14:55,45,Riyadh,20,8261.09
C00779,2025-09-07 23:14:55,84,Medina,94,4789.04
C00780,2024-11-07 23:14:55,29,Jeddah,86,2144.77
C00781,2025-07-16 23:14:55,92,Mecca,62,11966.77
C00782,2024-11-21 23:14:55,92,Dammam,74,2876.56
C00783,2025-09-08 23:14:55,74,Riyadh,50,9145.28
C00784,2024-09-23 23:14:55,71,Mecca,81,2094.0
C00785,2025-03-24 23:14:55,24,Riyadh,89,13667.19
C00786,2025-05-19 23:14:55,34,Mecca,91,14319.45
C00787,2024-11-15 23:14:55,52,Dammam,51,4562.95
C00788,2024-11-17 23:14:55,20,Riyadh,24,2716.45
C00789,2025-02-27 23:14:55,38,Khobar,96,8206.03
C00790,2025-02-12 23:14:55,46,Riyadh,95,3325.91
C00791,2025-04-16 23:14:55,43,Mecca,95,9304.91
C00792,2025-01-08 23:14:55,11,Dammam,77,5120.13
C00793,2025-04-03 23:14:55,47,Dammam,66,2898.95
C00794,2024-12-08 23:14:55,31,Jeddah,39,3654.71
C00795,2024-09-06 23:14:55,44,Jeddah,23,8501.89
C00796,2025-01-28 23:14:55,14,Dammam,84,14678.84
C00797,2024-11-28 23:14:55,51,Mecca,82,14825.93
C00798,2025-04-10 23:14:55,37,Jeddah,87,2205.91
C00799,2025-01-02 23:14:55,77,Medina,39,8414.6
C00800,2025-01-31 23:14:55,55,Medina,94,14895.28
C00801,2025-01-25 23:14:55,58,Dammam,87,13185.14
C00802,2025-01-18 23:14:55,83,Riyadh,90,11451.97
C00803,2025-08-21 23:14:55,55,Medina,35,10408.85
C00804,2025-07-20 23:14:55,49,Jeddah,75,8756.85
C00805,2025-06-25 23:14:55,84,Mecca,99,3324.71
C00806,2024-10-27 23:14:55,74,Khobar,68,11152.73
C00807,2025-05-26 23:14:55,43,Medina,65,7589.6
C00808,2025-06-19 23:14:55,38,Mecca,69,11815.82
C00809,2024-10-14 23:14:55,58,Mecca,39,7900.59
C00810,2024-08-26 23:14:55,100,Mecca,84,4348.17
C00811,2024-10-18 23:14:55,85,Khobar,89,1155.38
C00812,2024-10-21 23:14:55,43,Riyadh,67,7331.33
C00813,2024-12-17 23:14:55,68,Riyadh,48,13434.61
C00814,2025-02-16 23:14:55,79,Khobar,87,494.59
C00815,2025-08-20 23:14:55,98,Riyadh,78,4558.17
C00816,2025-07-26 23:14:55,25,Riyadh,62,2711.34
C00817,2025-01-20 23:14:55,19,Jeddah,87,11123.52
C00818,2024-08-27 23:14:55,20,Mecca,22,9821.73
C00819,2025-09-01 23:14:55,35,Mecca,20,13500.14
C00820,2025-05-11 23:14:55,53,Mecca,37,12870.18
C00821,2025-01-13 23:14:55,51,Medina,32,6983.76
C00822,2025-06-17 23:14:55,77,Riyadh,70,3366.83
C00823,2025-04-23 23:14:55,89,Mecca,59,11977.48
C00824,2024-12-06 23:14:55,73,Riyadh,84,14848.98
C00825,2025-05-14 23:14:55,64,Mecca,24,10779.03
C00826,2025-08-23 23:14:55,28,Mecca,97,7603.07
C00827,2024-09-10 23:14:55,92,Jeddah,67,9698.53
C00828,2024-09-03 23:14:55,79,Dammam,43,12102.18
C00829,2025-08-08 23:14:55,47,Riyadh,71,9454.41
C00830,2025-01-18 23:14:55,31,Medina,80,514.3
C00831,2024-12-03 23:14:55,82,Jeddah,34,3184.04
C00832,2024-12-02 23:14:55,73,Medina,36,1743.96
C00833,2024-10-03 23:14:55,26,Khobar,89,3717.59
C00834,2025-09-12 23:14:55,65,Jeddah,97,5730.13
C00835,2024-12-12 23:14:55,74,Mecca,54,11724.16
C00836,2024-12-08 23:14:55,73,Riyadh,94,4352.44
C00837,2025-05-12 23:14:55,21,Jeddah,77,2942.35
C00838,2025-07-07 23:14:55,26,Dammam,23,6148.27
C00839,2025-06-16 23:14:55,45,Dammam,90,510.71
C00840,2025-06-23 23:14:55,68,Khobar,56,3292.51
C00841,2024-12-26 23:14:55,96,Dammam,66,5799.59
C00842,2025-05-28 23:14:55,26,Medina,84,14513.72
C00843,2024-08-29 23:14:55,43,Khobar,51,13381.79
C00844,2024-08-17 23:14:55,47,Mecca,37,13063.51
C00845,2025-08-18 23:14:55,52,Khobar,22,2484.53
C00846,2025-08-16 23:14:55,84,Dammam,20,5327.5
C00847,2024-12-01 23:14:55,90,Jeddah,46,10675.99
C00848,2024-09-20 23:14:55,46,Medina,64,899.85
C00849,2025-01-25 23:14:55,39,Dammam,67,234.85
C00850,2025-06-14 23:14:55,93,Mecca,69,13665.66
C00851,2024-11-27 23:14:55,32,Mecca,63,10476.23
C00852,2024-09-27 23:14:55,92,Medina,40,6417.0
C00853,2025-01-15 23:14:55,57,Dammam,30,5529.25
C00854,2025-05-06 23:14:55,21,Riyadh,86,13914.77
C00855,2024-10-15 23:14:55,27,Riyadh,42,13998.19
C00856,2024-12-28 23:14:55,67,Riyadh,24,873.34
C00857,2025-08-10 23:14:55,37,Medina,74,11267.36
C00858,2025-07-30 23:14:55,37,Jeddah,97,8699.7
C00859,2025-06-18 23:14:55,36,Khobar,39,13971.21
C00860,2024-11-17 23:14:55,97,Mecca,84,10728.45
C00861,2024-09-12 23:14:55,45,Dammam,57,4957.63
C00862,2025-06-23 23:14:55,28,Jeddah,79,6336.11
C00863,2024-09-27 23:14:55,94,Khobar,20,14475.81
C00864,2025-01-26 23:14:55,78,Jeddah,73,6467.98
C00865,2025-01-28 23:14:55,99,Jeddah,71,4395.19
C00866,2024-10-16 23:14:55,95,Medina,36,11439.8
C00867,2025-01-24 23:14:55,14,Mecca,83,7363.03
C00868,2025-05-18 23:14:55,92,Dammam,67,10137.61
C00869,2024-11-04 23:14:55,29,Medina,50,13629.98
C00870,2025-07-30 23:14:55,32,Riyadh,90,9327.44
C00871,2024-12-31 23:14:55,50,Dammam,34,1375.88
C00872,2024-08-31 23:14:55,65,Dammam,20,5240.19
C00873,2025-07-10 23:14:55,35,Jeddah,29,13171.24
C00874,2024-10-13 23:14:55,31,Dammam,68,13696.49
C00875,2025-03-17 23:14:55,67,Medina,54,14494.16
C00876,2024-11-12 23:14:55,45,Jeddah,70,6055.09
C00877,2025-01-03 23:14:55,49,Mecca,69,10753.22
C00878,2025-03-22 23:14:55,13,Mecca,66,6798.32
C00879,2024-10-12 23:14:55,18,Dammam,92,4038.0
C00880,2025-05-06 23:14:55,26,Khobar,63,4188.41
C00881,2025-07-03 23:14:55,91,Mecca,60,9998.81
C00882,2024-12-13 23:14:55,56,Jeddah,28,1236.16
C00883,2025-04-10 23:14:55,83,Mecca,53,6782.61
C00884,2025-03-06 23:14:55,11,Khobar,57,6375.17
C00885,2025-03-08 23:14:55,37,Riyadh,52,12659.04
C00886,2025-03-23 23:14:55,48,Khobar,39,14744.44
C00887,2024-08-20 23:14:55,74,Mecca,91,397.16
C00888,2025-05-20 23:14:55,100,Jeddah,39,6347.9
C00889,2025-06-18 23:14:55,82,Riyadh,81,9726.55
C00890,2024-09-19 23:14:55,47,Dammam,91,413.93
C00891,2025-04-01 23:14:55,68,Khobar,96,6390.31
C00892,2024-10-23 23:14:55,80,Khobar,77,10055.74
C00893,2025-06-04 23:14:55,36,Medina,64,2487.46
C00894,2025-07-24 23:14:55,76,Riyadh,90,9100.29
C00895,2025-02-23 23:14:55,21,Medina,30,824.53
C00896,2024-11-11 23:14:55,67,Medina,75,14594.48
C00897,2025-08-25 23:14:55,30,Mecca,86,13433.45
