ticketid,customerid,createdat,status,issue_type,resolution_time,channel
T000417,C00820,2025-04-11 23:14:55,open,Delivery,68,email
T000418,C00279,2025-05-14 23:14:55,open,Return,7,phone
T000419,C01040,2025-03-11 23:14:55,closed,Delivery,50,email
T000420,C00157,2025-05-13 23:14:55,closed,Product Question,16,chat
T000421,C00151,2025-07-04 23:14:55,open,Return,16,phone
T000422,C00458,2024-10-31 23:14:55,closed,Order Issue,62,phone
T000423,C00678,2024-10-07 23:14:55,open,Order Issue,11,email
T000424,C00790,2024-12-14 23:14:55,open,Product Question,43,chat
T000425,C00317,2025-08-10 23:14:55,closed,Return,34,chat
T000426,C00936,2024-12-07 23:14:55,escalated,Return,28,chat
T000427,C00785,2024-09-22 23:14:55,open,Order Issue,72,chat
T000428,C00205,2024-11-25 23:14:55,closed,Return,46,phone
T000429,C01073,2025-08-27 23:14:55,closed,Return,41,chat
T000430,C01145,2025-02-22 23:14:55,closed,Order Issue,49,email
T000431,C00050,2024-10-25 23:14:55,closed,Delivery,39,email
T000432,C00249,2025-07-05 23:14:55,escalated,Order Issue,6,chat
T000433,C00473,2024-12-06 23:14:55,escalated,Product Question,1,chat
T000434,C00423,2025-08-09 23:14:55,closed,Delivery,22,phone
T000435,C00593,2025-03-31 23:14:55,open,Delivery,31,chat
T000436,C00335,2025-02-14 23:14:55,open,Return,68,email
T000437,C00398,2024-08-16 23:14:55,open,Product Question,1,phone
T000438,C00182,2025-05-11 23:14:55,escalated,Delivery,40,email
T000439,C00831,2025-07-28 23:14:55,open,Return,40,chat
T000440,C00455,2025-04-30 23:14:55,escalated,Product Question,19,email
T000441,C00908,2024-11-25 23:14:55,closed,Order Issue,67,phone
T000442,C00651,2025-04-15 23:14:55,closed,Delivery,20,email
T000443,C00646,2025-04-29 23:14:55,open,Product Question,43,chat
T000444,C00213,2025-01-01 23:14:55,escalated,Delivery,23,phone
T000445,C00071,2025-06-07 23:14:55,open,Return,20,chat
T000446,C00521,2025-07-30 23:14:55,open,Order Issue,65,chat
T000447,C00785,2024-08-19 23:14:55,open,Return,69,email
T000448,C00288,2025-01-22 23:14:55,closed,Return,67,phone
T000449,C00897,2024-08-17 23:14:55,escalated,Delivery,22,chat
T000450,C00084,2025-08-21 23:14:55,open,Return,10,chat
T000451,C01125,2025-02-05 23:14:55,closed,Order Issue,40,phone
T000452,C00589,2025-02-07 23:14:55,escalated,Delivery,30,chat
T000453,C01085,2025-06-08 23:14:55,closed,Delivery,9,email
T000454,C00524,2025-01-24 23:14:55,open,Delivery,59,chat
T000455,C00877,2024-09-04 23:14:55,escalated,Delivery,53,chat
T000456,C00646,2025-03-29 23:14:55,escalated,Delivery,30,email
T000457,C00916,2025-04-18 23:14:55,closed,Order Issue,47,chat
T000458,C01103,2025-01-13 23:14:55,open,Product Question,2,email
T000459,C01019,2024-09-24 23:14:55,open,Order Issue,17,phone
T000460,C00994,2025-09-08 23:14:55,escalated,Product Question,65,chat
T000461,C01021,2024-08-16 23:14:55,open,Delivery,66,email
T000462,C00320,2025-03-29 23:14:55,open,Delivery,6,chat
T000463,C00823,2025-06-30 23:14:55,closed,Product Question,47,chat
T000464,C01047,2025-06-30 23:14:55,closed,Delivery,32,phone
T000465,C00828,2024-11-27 23:14:55,escalated,Return,36,phone
T000466,C00543,2025-06-08 23:14:55,open,Return,20,chat
T000467,C00890,2025-06-07 23:14:55,closed,Return,9,email
T000468,C00662,2025-09-09 23:14:55,open,Delivery,26,email
T000469,C00455,2025-07-11 23:14:55,open,Product Question,38,chat
T000470,C00216,2025-04-19 23:14:55,open,Order Issue,1,phone
T000471,C00470,2025-03-16 23:14:55,open,Product Question,36,phone
T000472,C00769,2025-02-24 23:14:55,open,Return,63,chat
T000473,C01087,2024-11-08 23:14:55,open,Order Issue,63,email
T000474,C00559,2025-01-09 23:14:55,open,Product Question,31,email
T000475,C00209,2025-05-02 23:14:55,closed,Delivery,21,chat
T000476,C00048,2025-09-03 23:14:55,closed,Product Question,36,email
T000477,C00382,2025-01-06 23:14:55,closed,Return,70,email
T000478,C00993,2025-03-25 23:14:55,escalated,Product Question,39,chat
T000479,C00492,2025-04-19 23:14:55,escalated,Return,63,phone
T000480,C00042,2024-11-22 23:14:55,closed,Product Question,47,chat
T000481,C00255,2024-12-05 23:14:55,closed,Delivery,32,email
T000482,C01158,2025-05-15 23:14:55,open,Order Issue,64,chat
T000483,C00650,2025-02-01 23:14:55,open,Order Issue,54,email
T000484,C00906,2025-05-24 23:14:55,closed,Order Issue,50,chat
T000485,C00500,2025-05-27 23:14:55,open,Return,33,chat
T000486,C00389,2025-04-25 23:14:55,closed,Product Question,41,phone
T000487,C00155,2024-09-20 23:14:55,closed,Product Question,51,chat
T000488,C00571,2025-02-13 23:14:55,open,Return,3,phone
T000489,C00965,2025-02-07 23:14:55,escalated,Return,35,chat
T000490,C00393,2025-04-06 23:14:55,open,Return,7,chat
T000491,C00353,2025-02-17 23:14:55,open,Return,58,chat
T000492,C00224,2025-05-21 23:14:55,closed,Product Question,61,chat
T000493,C00783,2024-08-16 23:14:55,escalated,Product Question,38,email
T000494,C01033,2024-08-16 23:14:55,escalated,Product Question,38,email
T000495,C00500,2025-02-02 23:14:55,closed,Product Question,40,email
T000496,C00163,2025-01-31 23:14:55,open,Product Question,60,phone
T000497,C00954,2025-04-27 23:14:55,escalated,Product Question,10,phone
T000498,C00951,2024-12-25 23:14:55,closed,Product Question,34,chat
T000499,C00684,2025-07-13 23:14:55,closed,Order Issue,22,email
T000500,C00506,2025-06-25 23:14:55,escalated,Product Question,8,chat
T000501,C00996,2024-12-09 23:14:55,escalated,Product Question,71,chat
T000502,C00369,2025-02-01 23:14:55,closed,Order Issue,9,phone
T000503,C00834,2024-09-19 23:14:55,closed,Product Question,0,chat
T000504,C00254,2024-12-20 23:14:55,escalated,Order Issue,39,chat
T000505,C00281,2025-08-13 23:14:55,escalated,Delivery,54,chat
T000506,C00107,2024-11-29 23:14:55,open,Product Question,59,phone
T000507,C00895,2024-12-04 23:14:55,open,Order Issue,38,chat
T000508,C00366,2024-12-29 23:14:55,escalated,Delivery,5,chat
T000509,C00944,2024-10-09 23:14:55,open,Return,48,phone
T000510,C00910,2024-09-06 23:14:55,escalated,Return,20,phone
T000511,C00047,2024-11-24 23:14:55,open,Return,39,email
T000512,C00118,2024-08-11 23:14:55,closed,Product Question,57,chat
T000513,C01144,2025-04-15 23:14:55,closed,Product Question,21,email
T000514,C00233,2024-12-29 23:14:55,open,Product Question,43,email
T000515,C00882,2025-04-05 23:14:55,closed,Return,38,chat
T000516,C00447,2024-11-02 23:14:55,open,Delivery,17,chat
T000517,C00123,2024-11-10 23:14:55,closed,Return,4,phone
T000518,C00181,2025-05-31 23:14:55,open,Order Issue,51,email
T000519,C00997,2025-04-19 23:14:55,open,Delivery,29,chat
T000520,C01009,2025-01-03 23:14:55,closed,Delivery,23,chat
T000521,C00283,2024-12-28 23:14:55,closed,Delivery,66,phone
T000522,C00293,2024-12-27 23:14:55,closed,Delivery,52,email
T000523,C00181,2025-03-08 23:14:55,open,Product Question,60,phone
T000524,C01107,2024-11-12 23:14:55,escalated,Delivery,46,chat
T000525,C00148,2025-06-05 23:14:55,escalated,Return,72,chat
T000526,C01113,2025-08-02 23:14:55,escalated,Order Issue,32,email
T000527,C00711,2025-03-21 23:14:55,closed,Product Question,52,chat
T000528,C00310,2025-03-14 23:14:55,open,Order Issue,68,chat
T000529,C00702,2025-06-06 23:14:55,closed,Order Issue,46,chat
T000530,C01128,2025-06-04 23:14:55,open,Delivery,49,chat
T000531,C00115,2025-07-05 23:14:55,escalated,Order Issue,40,phone
T000532,C00213,2025-07-06 23:14:55,closed,Order Issue,18,phone
T000533,C00621,2025-04-25 23:14:55,open,Order Issue,11,phone
T000534,C00493,2024-09-11 23:14:55,open,Product Question,49,email
T000535,C01140,2024-09-03 23:14:55,closed,Product Question,31,chat
T000536,C00840,2024-09-25 23:14:55,closed,Product Question,69,phone
T000537,C00083,2025-08-27 23:14:55,closed,Order Issue,8,email
T000538,C00045,2024-09-20 23:14:55,closed,Return,22,email
T000539,C00804,2025-03-31 23:14:55,escalated,Product Question,3,phone
T000540,C00703,2025-04-10 23:14:55,escalated,Order Issue,47,phone
T000541,C00147,2024-09-09 23:14:55,escalated,Order Issue,6,chat
T000542,C00126,2025-02-05 23:14:55,open,Order Issue,65,chat
T000543,C00913,2025-08-28 23:14:55,open,Order Issue,14,chat
T000544,C00423,2025-07-23 23:14:55,open,Product Question,11,email
T000545,C00037,2025-03-12 23:14:55,escalated,Delivery,5,phone
T000546,C00137,2024-11-12 23:14:55,escalated,Delivery,0,email
T000547,C00064,2024-10-19 23:14:55,open,Product Question,5,chat
T000548,C01034,2025-06-20 23:14:55,escalated,Order Issue,15,email
T000549,C00517,2024-11-02 23:14:55,escalated,Product Question,43,email
T000550,C00048,2025-02-23 23:14:55,open,Delivery,17,chat
T000551,C01154,2024-08-12 23:14:55,escalated,Return,62,email
T000552,C00709,2025-07-10 23:14:55,escalated,Delivery,15,email
T000553,C00760,2025-03-06 23:14:55,escalated,Return,56,chat
T000554,C00895,2025-01-05 23:14:55,closed,Order Issue,32,email
T000555,C00036,2025-06-12 23:14:55,closed,Order Issue,68,chat
T000556,C00987,2025-05-28 23:14:55,open,Order Issue,1,email
T000557,C00447,2024-12-24 23:14:55,escalated,Product Question,44,email
T000558,C00547,2025-03-22 23:14:55,closed,Order Issue,1,chat
T000559,C00462,2024-09-01 23:14:55,open,Product Question,14,chat
T000560,C00254,2024-09-05 23:14:55,escalated,Return,35,chat
T000561,C00030,2025-04-05 23:14:55,closed,Delivery,36,chat
T000562,C00331,2025-04-13 23:14:55,closed,Delivery,19,phone
T000563,C00484,2024-09-20 23:14:55,escalated,Order Issue,10,phone
T000564,C00186,2024-10-15 23:14:55,escalated,Order Issue,52,chat
T000565,C00464,2024-10-07 23:14:55,closed,Delivery,48,phone
T000566,C00986,2024-10-05 23:14:55,escalated,Return,23,phone
T000567,C00042,2025-02-05 23:14:55,open,Order Issue,65,chat
T000568,C00942,2025-07-06 23:14:55,escalated,Delivery,64,chat
T000569,C00949,2024-08-13 23:14:55,closed,Delivery,69,chat
T000570,C00288,2025-06-29 23:14:55,closed,Product Question,66,chat
T000571,C00827,2025-04-11 23:14:55,escalated,Product Question,11,phone
T000572,C01154,2025-02-05 23:14:55,open,Delivery,28,phone
T000573,C00409,2025-01-31 23:14:55,closed,Product Question,65,phone
T000574,C00467,2025-03-29 23:14:55,open,Product Question,3,phone
T000575,C00571,2025-04-30 23:14:55,open,Delivery,68,email
T000576,C00444,2024-08-14 23:14:55,open,Order Issue,33,email
T000577,C01084,2025-07-17 23:14:55,escalated,Product Question,59,email
T000578,C01113,2024-10-13 23:14:55,open,Order Issue,24,email
T000579,C00808,2025-01-26 23:14:55,open,Product Question,42,phone
T000580,C00548,2025-04-24 23:14:55,open,Return,62,phone
T000581,C00705,2025-07-28 23:14:55,open,Product Question,28,email
T000582,C00809,2025-09-10 23:14:55,escalated,Product Question,67,chat
T000583,C00621,2024-10-25 23:14:55,open,Order Issue,60,chat
T000584,C00307,2025-09-06 23:14:55,escalated,Product Question,19,phone
T000585,C00320,2024-10-02 23:14:55,closed,Order Issue,31,phone
T000586,C00104,2024-10-16 23:14:55,closed,Delivery,24,phone
T000587,C00114,2024-10-28 23:14:55,escalated,Product Question,16,chat
T000588,C00282,2025-03-31 23:14:55,escalated,Return,40,chat
T000589,C00368,2025-09-10 23:14:55,open,Order Issue,19,email
T000590,C00679,2025-07-19 23:14:55,open,Return,61,chat
T000591,C00220,2024-11-08 23:14:55,closed,Product Question,47,chat
T000592,C00365,2025-02-18 23:14:55,closed,Return,9,chat
T000593,C00578,2025-07-31 23:14:55,closed,Delivery,70,email
T000594,C00261,2025-09-08 23:14:55,open,Order Issue,7,phone
T000595,C00937,2024-11-29 23:14:55,open,Order Issue,31,email
T000596,C00467,2025-03-04 23:14:55,closed,Order Issue,48,phone
T000597,C00794,2024-10-07 23:14:55,open,Return,10,phone
T000598,C00833,2024-11-28 23:14:55,open,Order Issue,59,chat
T000599,C00665,2025-06-09 23:14:55,closed,Order Issue,12,email
T000600,C00367,2025-01-20 23:14:55,closed,Return,44,chat
