sessionid,timestamp,customerid,pageviews,events,city,channel,bounce,session_duration,conversion,source
S358355,2025-03-05 23:04:55,C30336,2,1,Jeddah,Mobile,1,683,1,paid
S685375,2025-03-22 17:25:55,C68961,4,4,Khobar,Web,1,476,1,organic
S485206,2025-03-05 12:43:55,C74891,2,1,Mecca,Tablet,1,325,0,organic
S817331,2025-03-23 00:18:55,C12287,8,6,Riyadh,Tablet,0,818,0,email
S600019,2025-03-29 15:45:55,C81388,2,2,Medina,Web,0,859,1,paid
S861374,2025-03-12 15:55:55,C72826,1,1,Dammam,Mobile,1,788,0,paid
S518764,2025-03-19 17:28:55,C62164,15,1,Jeddah,Web,0,547,0,paid
S892233,2025-03-22 18:23:55,C94765,13,11,Medina,Web,1,244,1,organic
S767426,2025-03-26 08:09:55,C28507,8,7,Dammam,Tablet,0,854,0,paid
S423845,2025-03-29 02:46:55,C22406,3,1,Khobar,Mobile,1,706,1,paid
S442835,2025-03-28 02:37:55,C80911,15,6,Riyadh,Web,1,592,0,paid
S817371,2025-03-23 05:41:55,C11631,10,7,Mecca,Tablet,1,640,1,organic
S813763,2025-03-24 21:27:55,C22578,14,6,Dammam,Mobile,0,488,1,referral
S584654,2025-03-03 21:48:55,C28728,14,5,Jeddah,Web,1,845,1,social
S887390,2025-02-24 09:42:55,C93976,9,3,Dammam,Tablet,0,205,1,email
S533671,2025-02-27 17:00:55,C17898,9,7,Khobar,Mobile,0,332,1,social
S836748,2025-03-13 04:11:55,C15152,13,10,Medina,Tablet,0,782,1,paid
S490836,2025-03-22 15:31:55,C88392,6,1,Dammam,Tablet,0,669,0,email
S326461,2025-03-28 04:09:55,C50958,5,3,Dammam,Tablet,1,597,1,paid
S252918,2025-03-26 11:11:55,C56542,13,6,Mecca,Tablet,0,868,1,organic
S146776,2025-03-30 10:24:55,C18964,12,10,Khobar,Mobile,0,470,1,organic
S895516,2025-03-23 12:50:55,C19329,14,6,Jeddah,Mobile,0,54,1,social
S975986,2025-03-01 23:41:55,C87248,9,0,Dammam,Mobile,0,608,1,paid
S701049,2025-03-11 15:34:55,C17824,7,1,Jeddah,Web,1,572,1,organic
S861304,2025-03-16 05:31:55,C33226,1,1,Jeddah,Mobile,1,718,1,organic
S935710,2025-03-30 08:38:55,C73113,15,10,Mecca,Mobile,0,123,1,referral
S733294,2025-03-07 11:49:55,C36292,6,6,Dammam,Tablet,0,562,1,social
S896298,2025-03-16 22:13:55,C41721,2,2,Khobar,Tablet,1,679,1,organic
S185685,2025-03-15 06:29:55,C14430,9,7,Dammam,Tablet,1,699,1,referral
S486638,2025-03-22 08:07:55,C20241,14,12,Jeddah,Tablet,0,114,0,organic
S491317,2025-03-09 18:35:55,C36920,6,6,Khobar,Mobile,0,172,0,email
S435293,2025-03-02 17:55:55,C70207,15,3,Khobar,Mobile,1,722,0,organic
S732886,2025-03-15 09:36:55,C60954,12,4,Dammam,Tablet,1,140,0,social
S620360,2025-03-18 01:37:55,C93864,13,6,Medina,Mobile,1,497,0,email
S738670,2025-03-29 04:01:55,C95134,5,1,Jeddah,Web,0,514,1,email
S799175,2025-03-19 16:13:55,C48170,15,12,Mecca,Web,1,231,0,paid
S972314,2025-03-03 02:50:55,C70336,9,7,Dammam,Web,1,720,1,email
S808621,2025-03-30 12:31:55,C64083,11,9,Dammam,Mobile,1,108,0,organic
S687177,2025-03-13 00:37:55,C45882,14,13,Jeddah,Tablet,0,414,1,organic
S154331,2025-03-14 13:09:55,C57785,9,4,Riyadh,Web,0,406,0,paid
S971593,2025-02-24 06:29:55,C93792,12,4,Jeddah,Tablet,0,315,1,referral
S162188,2025-03-11 08:20:55,C11094,12,7,Dammam,Tablet,1,628,1,organic
S415835,2025-03-06 15:35:55,C75048,4,2,Mecca,Web,1,558,0,organic
S424695,2025-03-27 12:45:55,C88958,3,0,Riyadh,Mobile,1,882,0,email
S166544,2025-03-03 04:31:55,C26315,10,3,Riyadh,Mobile,1,135,0,social
S875375,2025-03-29 19:14:55,C63185,15,8,Khobar,Mobile,1,821,1,referral
S870324,2025-03-09 15:20:55,C25547,5,4,Jeddah,Mobile,1,188,1,email
S960317,2025-03-03 09:53:55,C59236,13,1,Riyadh,Mobile,0,357,0,organic
S634887,2025-03-12 16:09:55,C30016,5,3,Mecca,Mobile,1,42,0,organic
S952135,2025-03-11 23:38:55,C14508,11,10,Khobar,Web,1,617,0,organic
S916887,2025-03-12 13:55:55,C70135,10,2,Dammam,Tablet,0,83,0,paid
S109451,2025-03-04 03:31:55,C11684,9,0,Dammam,Tablet,1,593,0,email
S644294,2025-03-26 22:41:55,C30150,10,1,Mecca,Web,1,341,0,social
S220779,2025-03-17 14:43:55,C21210,6,3,Jeddah,Tablet,1,643,0,email
S902423,2025-03-21 07:42:55,C25992,7,2,Riyadh,Mobile,0,698,0,paid
S669124,2025-03-18 22:21:55,C98105,2,2,Mecca,Web,0,37,1,email
S936284,2025-03-26 12:18:55,C37405,2,2,Riyadh,Tablet,1,848,0,organic
S119247,2025-03-21 22:53:55,C49483,4,4,Mecca,Mobile,0,305,0,paid
S915514,2025-03-15 12:03:55,C65785,4,0,Mecca,Mobile,1,610,0,email
S318673,2025-03-18 10:13:55,C93754,1,0,Mecca,Tablet,0,343,0,social
S564829,2025-03-06 18:26:55,C15212,3,0,Riyadh,Tablet,0,297,0,email
S629809,2025-03-03 22:59:55,C20563,2,2,Dammam,Mobile,0,683,0,organic
S573581,2025-03-16 18:10:55,C89277,15,5,Dammam,Web,0,815,1,organic
S646717,2025-03-18 21:53:55,C14274,2,1,Dammam,Tablet,1,190,0,referral
S450722,2025-03-07 10:05:55,C50835,15,0,Riyadh,Tablet,1,795,0,organic
S593038,2025-03-04 01:01:55,C76905,1,1,Mecca,Tablet,0,601,0,organic
S386877,2025-03-06 08:54:55,C93358,6,3,Khobar,Mobile,0,391,0,organic
S443534,2025-03-09 17:24:55,C48388,14,12,Dammam,Mobile,1,755,0,social
S559424,2025-03-28 04:42:55,C74781,10,7,Medina,Tablet,0,732,1,paid
S893939,2025-02-27 14:49:55,C75149,5,3,Mecca,Web,1,390,1,referral
S110111,2025-03-03 11:51:55,C57132,7,0,Jeddah,Tablet,0,409,0,social
S451867,2025-03-25 00:24:55,C80724,2,1,Jeddah,Web,1,681,1,paid
S965651,2025-03-17 21:53:55,C14113,7,1,Medina,Mobile,1,492,1,referral
S411994,2025-03-19 10:15:55,C91767,4,0,Khobar,Web,1,632,0,paid
S311342,2025-03-14 05:46:55,C73214,2,0,Mecca,Mobile,1,37,0,paid
S959305,2025-02-28 18:24:55,C60277,10,9,Dammam,Mobile,1,396,0,organic
S917193,2025-02-25 20:14:55,C20880,7,1,Jeddah,Tablet,1,118,1,referral
S885648,2025-02-25 17:34:55,C84167,6,6,Jeddah,Web,1,225,1,organic
S754156,2025-03-23 17:28:55,C29739,9,6,Dammam,Mobile,1,869,1,referral
S961495,2025-03-07 03:15:55,C81227,10,7,Khobar,Tablet,1,77,1,referral
S527125,2025-02-28 10:40:55,C69206,6,6,Khobar,Tablet,1,527,1,organic
S220897,2025-03-19 03:13:55,C65869,12,1,Jeddah,Mobile,1,47,1,referral
S664742,2025-03-22 13:30:55,C81247,15,12,Jeddah,Mobile,1,692,1,referral
S731103,2025-03-04 08:57:55,C69351,5,2,Riyadh,Web,1,86,1,organic
S851720,2025-03-06 22:19:55,C59415,10,10,Jeddah,Web,1,830,0,organic
S780421,2025-03-20 15:07:55,C15441,13,2,Khobar,Tablet,1,510,0,social
S128724,2025-03-20 10:47:55,C83023,6,1,Jeddah,Web,0,375,1,paid
S426652,2025-03-11 16:14:55,C79023,6,1,Dammam,Mobile,0,86,1,email
S979804,2025-03-19 13:19:55,C56515,1,1,Medina,Tablet,0,325,1,referral
S637558,2025-03-26 21:31:55,C17184,14,9,Medina,Tablet,1,371,0,email
S323611,2025-02-28 00:39:55,C31384,13,4,Dammam,Mobile,0,410,0,organic
S784666,2025-03-26 04:01:55,C65315,2,1,Medina,Mobile,1,508,1,referral
S134265,2025-03-16 22:25:55,C40633,6,3,Jeddah,Tablet,0,843,1,paid
S361585,2025-03-20 19:14:55,C88627,13,4,Riyadh,Tablet,0,414,1,referral
S889122,2025-03-30 03:07:55,C74084,2,1,Medina,Mobile,1,685,0,social
S786122,2025-03-26 17:51:55,C45359,8,1,Medina,Web,1,865,0,organic
S466357,2025-03-28 04:22:55,C19381,10,0,Khobar,Tablet,1,178,0,referral
S125111,2025-02-25 16:43:55,C69531,4,1,Dammam,Mobile,0,532,0,email
S185802,2025-03-13 10:00:55,C88305,6,2,Jeddah,Web,0,618,0,paid
S823620,2025-03-17 09:28:55,C70066,10,3,Khobar,Tablet,0,277,1,paid
S134781,2025-03-20 07:40:55,C92077,7,2,Mecca,Mobile,1,541,1,referral
S549850,2025-03-25 23:58:55,C80780,10,5,Medina,Tablet,0,238,0,email
S783457,2025-03-23 10:00:55,C35216,6,2,Riyadh,Mobile,1,262,1,email
S510341,2025-03-19 19:09:55,C46481,12,1,Jeddah,Web,1,238,1,email
S465396,2025-03-22 19:22:55,C75942,11,7,Dammam,Tablet,1,702,1,email
S715494,2025-03-06 19:36:55,C98624,8,3,Mecca,Mobile,0,185,1,email
S292291,2025-02-26 17:09:55,C61565,5,5,Mecca,Mobile,1,449,1,email
S745021,2025-02-24 21:04:55,C62539,7,2,Mecca,Web,1,327,1,social
S266979,2025-02-24 10:47:55,C65172,1,1,Jeddah,Web,1,524,0,paid
S927243,2025-03-28 19:21:55,C27442,1,1,Khobar,Tablet,1,135,1,organic
S437706,2025-02-26 16:56:55,C53851,8,0,Mecca,Mobile,1,79,0,paid
S896840,2025-03-28 21:27:55,C50171,3,0,Dammam,Web,0,570,1,paid
S196635,2025-02-25 22:01:55,C98824,15,4,Mecca,Tablet,1,551,0,paid
S180106,2025-03-13 13:52:55,C39762,2,1,Riyadh,Tablet,1,590,1,social
S736857,2025-03-17 11:12:55,C22431,10,3,Riyadh,Tablet,1,400,0,paid
S163533,2025-03-17 23:55:55,C94415,2,0,Jeddah,Tablet,1,48,0,referral
S642948,2025-03-29 19:39:55,C70530,9,2,Riyadh,Tablet,0,647,0,organic
S516064,2025-03-22 17:43:55,C32026,11,1,Khobar,Tablet,1,126,0,social
S905275,2025-03-26 19:17:55,C81860,4,0,Mecca,Web,1,143,1,email
S902791,2025-03-23 10:46:55,C68838,9,0,Jeddah,Web,0,563,1,referral
S869360,2025-03-23 03:17:55,C36260,2,0,Khobar,Web,0,534,1,paid
S250150,2025-03-25 20:10:55,C32600,6,0,Dammam,Mobile,0,722,1,email
S204055,2025-03-18 06:07:55,C66749,15,10,Dammam,Tablet,1,278,1,organic
S998612,2025-03-27 12:31:55,C51064,3,1,Mecca,Web,0,269,0,paid
S167137,2025-02-25 03:25:55,C35801,9,2,Dammam,Mobile,1,860,1,organic
S805438,2025-03-29 03:14:55,C42734,11,10,Dammam,Mobile,1,766,0,paid
S666765,2025-02-24 12:32:55,C51016,6,1,Dammam,Mobile,1,435,0,organic
S902673,2025-03-02 18:45:55,C82598,12,1,Khobar,Mobile,0,346,0,organic
S976533,2025-03-23 20:58:55,C47214,4,2,Riyadh,Web,1,199,1,paid
S273705,2025-03-21 15:25:55,C14468,1,0,Mecca,Mobile,0,499,1,paid
S361094,2025-03-18 20:18:55,C54614,4,2,Riyadh,Tablet,1,705,0,paid
S188855,2025-03-23 21:16:55,C22656,14,8,Mecca,Tablet,1,414,1,organic
S685905,2025-03-30 01:10:55,C57422,7,1,Riyadh,Web,0,622,1,referral
S463845,2025-03-29 04:35:55,C18631,4,4,Khobar,Web,0,572,1,email
S983003,2025-03-28 01:15:55,C47397,11,11,Khobar,Mobile,1,899,0,social
S279793,2025-02-27 14:19:55,C66483,7,0,Medina,Tablet,1,600,0,paid
S981086,2025-03-15 07:10:55,C87555,3,1,Riyadh,Tablet,1,843,1,organic
S872304,2025-03-09 23:13:55,C62134,4,4,Khobar,Web,0,795,0,referral
S407401,2025-02-28 01:00:55,C33360,8,4,Medina,Tablet,0,780,0,referral
S559207,2025-03-17 14:42:55,C14794,10,2,Medina,Tablet,0,182,0,paid
S484138,2025-03-23 17:29:55,C85335,13,2,Jeddah,Web,1,260,1,email
S423466,2025-02-26 23:29:55,C78075,12,11,Medina,Mobile,1,182,0,organic
S868783,2025-03-14 08:33:55,C69959,7,2,Dammam,Web,1,505,1,social
S102898,2025-02-25 01:20:55,C35676,12,5,Mecca,Mobile,0,447,1,social
S549150,2025-03-17 03:33:55,C81619,12,0,Jeddah,Web,1,195,0,organic
S752724,2025-03-15 17:25:55,C95366,3,2,Riyadh,Tablet,0,365,0,email
S156529,2025-03-25 11:44:55,C72666,6,1,Mecca,Tablet,0,531,1,organic
S526886,2025-03-23 14:21:55,C31909,5,5,Dammam,Web,0,115,0,email
S970588,2025-03-18 08:25:55,C40586,7,3,Dammam,Tablet,0,335,0,paid
S787968,2025-03-09 23:39:55,C74850,2,1,Khobar,Mobile,1,229,1,referral
S260214,2025-03-10 14:01:55,C90585,5,2,Mecca,Tablet,1,780,0,paid
S227373,2025-02-27 05:40:55,C57112,15,10,Khobar,Tablet,0,239,0,paid
S993359,2025-03-24 08:28:55,C47561,14,7,Mecca,Web,0,821,1,referral
S434396,2025-03-14 10:23:55,C87751,10,3,Mecca,Web,0,563,0,email
S817797,2025-03-03 02:46:55,C54908,10,1,Khobar,Tablet,0,629,0,referral
S234327,2025-02-26 09:03:55,C52688,13,11,Jeddah,Tablet,1,31,0,email
S176416,2025-03-19 00:20:55,C83244,7,5,Riyadh,Web,0,194,1,referral
S573566,2025-03-03 12:27:55,C17211,14,5,Dammam,Mobile,1,419,0,paid
S969287,2025-02-27 03:44:55,C86445,10,9,Jeddah,Mobile,1,508,0,referral
S611824,2025-03-21 05:48:55,C83720,13,13,Jeddah,Web,1,382,0,referral
S564130,2025-03-28 00:12:55,C29082,11,2,Riyadh,Web,0,451,1,referral
S205464,2025-03-09 17:20:55,C35684,4,2,Dammam,Mobile,0,113,0,social
S231214,2025-02-27 21:03:55,C35881,13,0,Riyadh,Tablet,0,199,0,referral
S692531,2025-03-29 04:06:55,C32121,8,2,Riyadh,Web,0,152,0,email
S409889,2025-03-19 12:11:55,C92040,12,12,Mecca,Tablet,0,837,0,email
S259302,2025-03-25 04:01:55,C11125,15,14,Khobar,Web,0,872,0,organic
S354580,2025-03-18 23:33:55,C65028,14,4,Jeddah,Mobile,1,488,0,organic
S466520,2025-03-15 17:28:55,C92919,1,1,Khobar,Mobile,0,122,0,email
S540538,2025-03-23 11:08:55,C26811,3,0,Riyadh,Web,1,515,1,email
S220299,2025-03-24 19:11:55,C54614,12,12,Medina,Mobile,1,382,0,paid
S619662,2025-02-27 09:14:55,C31291,6,1,Riyadh,Mobile,1,562,0,paid
S759084,2025-02-27 02:04:55,C89744,3,3,Riyadh,Mobile,0,557,0,social
S226655,2025-03-14 12:19:55,C47395,8,7,Medina,Web,1,488,0,email
S744990,2025-03-02 12:21:55,C71794,5,2,Khobar,Mobile,0,527,1,email
S466808,2025-02-24 09:30:55,C84236,5,2,Khobar,Web,0,840,1,social
S784494,2025-03-13 03:10:55,C47280,12,4,Jeddah,Mobile,1,813,1,paid
S236597,2025-03-24 19:08:55,C83465,1,1,Dammam,Tablet,1,591,0,email
