productid,productname,category,price,cost
P0333,Gaviscon 200ml Bottle - Store Brand - Store Brand - Store Brand,Gastrointestinal,24.12,6.87
P0334,Earol Ear Drops Pack - Store Brand - Store Brand - Store Brand - Store Brand,Ear Care,4.5,3.21
P0335,Neutrogena Hydro Boost Bottle - Store Brand,Skincare,92.63,31.49
P0336,Panadol Advance Bottle - Store Brand - Store Brand,Pain Relief,10.78,4.91
P0337,NeoCitran Hot Drink Pack - Store Brand - Store Brand - Store Brand,Cold & Flu,8.75,4.55
P0338,Aspirin 100mg Bottle - Store Brand - Store Brand - Store Brand,Pain Relief,2.28,0.93
P0339,Imodium 2mg Box - Store Brand - Store Brand,Gastrointestinal,18.61,6.36
P0340,Aspirin 100mg Bottle - Store Brand - Store Brand,Pain Relief,3.54,1.82
P0341,Clobetasol Cream 0.05% 30g Pack - Store Brand - Store Brand - Store Brand - Store Brand - Store Brand,Dermatology,31.35,6.06
P0342,Gaviscon 200ml Bottle - Store Brand - Store Brand - Store Brand - Store Brand,Gastrointestinal,14.53,5.27
P0343,Imodium 2mg Box - Store Brand - Store Brand - Store Brand - Store Brand,Gastrointestinal,7.49,4.36
P0344,Redoxon Vitamin C 1000mg Pack - Store Brand - Store Brand - Store Brand - Store Brand,Vitamins,7.58,2.24
P0345,Otrivin Nasal Spray Box - Store Brand - Store Brand - Store Brand,Cold & Flu,8.8,3.83
P0346,Refresh Tears Eye Drops Bottle - Store Brand,Eye Care,31.36,11.22
P0347,Refresh Tears Eye Drops Box - Store Brand - Store Brand - Store Brand,Eye Care,11.65,8.56
P0348,Clobetasol Cream 0.05% 30g Pack - Store Brand - Store Brand,Dermatology,51.95,23.45
P0349,Redoxon Vitamin C 1000mg Bottle - Store Brand - Store Brand,Vitamins,13.39,7.36
P0350,Voltaren Emulgel 50g Bottle - Store Brand - Store Brand,Pain Relief,25.62,7.43
P0351,Band-Aid Assorted Bottle - Store Brand,First Aid,7.3,4.77
P0352,Earol Ear Drops Pack - Store Brand - Store Brand - Store Brand - Store Brand,Ear Care,4.63,2.84
P0353,Duphaston 10mg Pack - Store Brand - Store Brand,Women's Health,40.23,13.62
P0354,Band-Aid Assorted Bottle - Store Brand - Store Brand,First Aid,5.15,2.99
P0355,Earol Ear Drops Pack - Store Brand - Store Brand - Store Brand - Store Brand,Ear Care,5.1,3.07
P0356,Clobetasol Cream 0.05% 30g Pack - Store Brand - Store Brand - Store Brand - Store Brand,Dermatology,39.04,9.75
P0357,Earol Ear Drops Pack - Store Brand - Store Brand - Store Brand - Store Brand - Store Brand,Ear Care,2.96,2.03
P0358,Pampers Baby Dry Pack - Store Brand - Store Brand - Store Brand,Baby Care,33.81,13.28
P0359,Multivitamin Gummies Kids Bottle - Store Brand,Vitamins,49.14,15.94
P0360,Otrivin Nasal Spray Bottle - Store Brand - Store Brand - Store Brand,Cold & Flu,9.05,4.83
P0361,Omega-3 Fish Oil Pack - Store Brand - Store Brand - Store Brand,Vitamins,34.43,19.12
P0362,Band-Aid Assorted Bottle - Store Brand - Store Brand - Store Brand,First Aid,4.42,1.91
P0363,Earol Ear Drops Pack - Store Brand,Ear Care,14.68,7.23
P0364,Duphaston 10mg Pack - Store Brand - Store Brand - Store Brand - Store Brand,Women's Health,16.72,8.55
P0365,Otrivin Nasal Spray Box - Store Brand,Cold & Flu,18.99,7.08
P0366,Omega-3 Fish Oil Box - Store Brand - Store Brand,Vitamins,41.97,20.81
P0367,Pampers Baby Dry Pack - Store Brand - Store Brand,Baby Care,55.6,22.07
P0368,Sensodyne Repair & Protect Box - Store Brand - Store Brand - Store Brand,Oral Care,12.43,3.91
P0369,Vicks VapoRub 50g Pack - Store Brand,Cold & Flu,12.65,4.62
P0370,Johnson's Baby Oil 200ml Pack - Store Brand,Baby Care,30.82,12.47
P0371,Clobetasol Cream 0.05% 30g Box - Store Brand - Store Brand - Store Brand,Dermatology,36.6,19.6
P0372,Aspirin 100mg Bottle - Store Brand - Store Brand - Store Brand,Pain Relief,3.07,1.31
P0373,Femibion Prenatal Pack - Store Brand - Store Brand,Vitamins,87.58,37.03
P0374,Johnson's Baby Oil 200ml Box - Store Brand - Store Brand,Baby Care,24.59,7.19
P0375,Otrivin Nasal Spray Pack - Store Brand,Cold & Flu,18.04,8.93
P0376,Earol Ear Drops Pack - Store Brand - Store Brand - Store Brand - Store Brand,Ear Care,4.66,2.33
P0377,Duphaston 10mg Pack - Store Brand - Store Brand,Women's Health,41.25,14.18
P0378,Mometasone Furoate 0.1% 15g Box - Store Brand - Store Brand,Dermatology,61.32,25.92
P0379,Nivea Body Lotion 400ml Bottle - Store Brand - Store Brand - Store Brand,Personal Care,9.62,6.43
P0380,Clobetasol Cream 0.05% 30g Bottle - Store Brand - Store Brand,Dermatology,68.97,22.1
P0381,Multivitamin Gummies Kids Box - Store Brand,Vitamins,41.57,15.85
P0382,Redoxon Vitamin C 1000mg Pack - Store Brand,Vitamins,24.54,11.51
P0383,Symbicort Inhaler Bottle - Store Brand - Store Brand - Store Brand - Store Brand - Store Brand,Respiratory,69.77,43.68
P0384,Band-Aid Assorted Box - Store Brand - Store Brand,First Aid,7.0,3.04
P0385,Otrivin Nasal Spray Box - Store Brand - Store Brand,Cold & Flu,13.26,5.75
P0386,Pampers Baby Dry Pack - Store Brand - Store Brand - Store Brand,Baby Care,38.24,16.49
P0387,Aspirin 100mg Pack - Store Brand - Store Brand - Store Brand,Pain Relief,2.82,1.02
P0388,Band-Aid Assorted Box - Store Brand - Store Brand,First Aid,6.66,3.35
P0389,Clobetasol Cream 0.05% 30g Bottle - Store Brand - Store Brand,Dermatology,65.23,26.36
P0390,Femibion Prenatal Pack - Store Brand,Vitamins,112.55,40.79
P0391,Johnson's Baby Oil 200ml Bottle - Store Brand - Store Brand,Baby Care,21.82,6.97
P0392,Gaviscon 200ml Bottle - Store Brand - Store Brand,Gastrointestinal,25.16,9.58
P0393,Nivea Body Lotion 400ml Bottle - Store Brand - Store Brand - Store Brand - Store Brand,Personal Care,7.31,4.3
P0394,Femibion Prenatal Pack - Store Brand - Store Brand,Vitamins,67.82,37.99
P0395,Omega-3 Fish Oil Pack - Store Brand - Store Brand - Store Brand - Store Brand,Vitamins,24.24,10.94
P0396,Mometasone Furoate 0.1% 15g Box - Store Brand - Store Brand,Dermatology,66.93,19.92
P0397,Omega-3 Fish Oil Pack - Store Brand - Store Brand - Store Brand - Store Brand - Store Brand,Vitamins,18.58,7.97
P0398,Johnson's Baby Oil 200ml Box - Store Brand,Baby Care,30.69,9.35
P0399,Earol Ear Drops Pack - Store Brand - Store Brand - Store Brand - Store Brand - Store Brand,Ear Care,3.83,1.44
P0400,Neutrogena Hydro Boost Box - Store Brand,Skincare,104.48,35.1
