attributionid,orderid,campaignid,revenue,channel,platform
A000487,ORD001320,CAMP0191,253.9,Mobile,google
A000488,ORD001319,CAMP0102,381.91,Retail,snapchat
A000489,ORD001980,CAMP0187,11.22,Web,tiktok
A000490,ORD000301,CAMP0176,97.87,Mobile,meta
A000491,ORD002939,CAMP0227,5.88,Mobile,google
A000492,ORD001238,CAMP0154,11.37,Mobile,tiktok
A000493,ORD000804,CAMP0033,253.12,Mobile,snapchat
A000494,ORD004417,CAMP0215,137.94,Web,snapchat
A000495,ORD003642,CAMP0110,16.97,Web,meta
A000496,ORD002825,CAMP0147,129.32,Mobile,meta
A000497,ORD000800,CAMP0176,23.29,Web,tiktok
A000498,ORD004216,CAMP0244,36.6,Web,google
A000499,ORD000536,CAMP0025,597.4,Web,tiktok
A000500,ORD000164,CAMP0235,14.93,Web,google
A000501,ORD004864,CAMP0134,54.6,Retail,tiktok
A000502,ORD001746,CAMP0018,156.16,Mobile,snapchat
A000503,ORD002816,CAMP0197,96.74,Mobile,meta
A000504,ORD004827,CAMP0071,9.02,Web,snapchat
A000505,ORD002752,CAMP0103,24.54,Retail,snapchat
A000506,ORD003368,CAMP0052,94.29,Retail,meta
A000507,ORD001062,CAMP0005,505.32,Mobile,meta
A000508,ORD004199,CAMP0063,7.49,Web,tiktok
A000509,ORD000490,CAMP0146,38.03,Retail,google
A000510,ORD004813,CAMP0027,240.51,Web,google
A000511,ORD002927,CAMP0165,14.08,Web,snapchat
A000512,ORD000024,CAMP0055,12.25,Web,snapchat
A000513,ORD004445,CAMP0078,119.48,Web,snapchat
A000514,ORD000219,CAMP0179,58.8,Retail,tiktok
A000515,ORD001439,CAMP0011,33.6,Mobile,google
A000516,ORD000582,CAMP0039,12.68,Mobile,google
A000517,ORD001097,CAMP0229,23.25,Web,tiktok
A000518,ORD003514,CAMP0214,294.5,Retail,tiktok
A000519,ORD003061,CAMP0010,67.82,Mobile,meta
A000520,ORD001241,CAMP0197,9.26,Mobile,google
A000521,ORD003076,CAMP0090,46.58,Web,meta
A000522,ORD002510,CAMP0115,20.26,Web,tiktok
A000523,ORD000454,CAMP0056,142.74,Mobile,meta
A000524,ORD001797,CAMP0051,22.48,Web,google
A000525,ORD002624,CAMP0162,130.86,Mobile,snapchat
A000526,ORD004268,CAMP0094,338.35,Retail,tiktok
A000527,ORD003140,CAMP0077,37.64,Retail,meta
A000528,ORD000429,CAMP0107,80.17,Retail,meta
A000529,ORD003613,CAMP0160,92.76,Web,tiktok
A000530,ORD003132,CAMP0218,55.02,Retail,snapchat
A000531,ORD002864,CAMP0230,245.28,Mobile,google
A000532,ORD004965,CAMP0220,25.7,Web,tiktok
A000533,ORD003303,CAMP0139,40.02,Mobile,tiktok
A000534,ORD001372,CAMP0178,13.56,Web,meta
A000535,ORD000078,CAMP0032,24.12,Mobile,meta
A000536,ORD003970,CAMP0045,400.6,Web,tiktok
A000537,ORD002721,CAMP0014,241.13,Web,google
A000538,ORD002471,CAMP0226,45.39,Mobile,meta
A000539,ORD001927,CAMP0248,40.23,Mobile,meta
A000540,ORD002735,CAMP0195,3.83,Web,tiktok
A000541,ORD004048,CAMP0081,31.32,Mobile,meta
A000542,ORD004103,CAMP0028,36.44,Mobile,google
A000543,ORD001283,CAMP0155,39.37,Retail,google
A000544,ORD000968,CAMP0143,87.48,Web,tiktok
A000545,ORD001010,CAMP0127,10.44,Mobile,tiktok
A000546,ORD002077,CAMP0207,503.0,Mobile,meta
A000547,ORD001199,CAMP0126,8.75,Mobile,snapchat
A000548,ORD003101,CAMP0233,17.68,Retail,snapchat
A000549,ORD003635,CAMP0096,13.26,Mobile,google
A000550,ORD000273,CAMP0078,60.26,Retail,tiktok
A000551,ORD004575,CAMP0082,37.29,Mobile,tiktok
A000552,ORD000990,CAMP0088,112.92,Web,snapchat
A000553,ORD001769,CAMP0210,265.7,Web,google
A000554,ORD003981,CAMP0045,101.43,Web,tiktok
A000555,ORD002994,CAMP0052,52.41,Web,meta
A000556,ORD003511,CAMP0041,369.85,Mobile,google
A000557,ORD004060,CAMP0097,38.24,Web,snapchat
A000558,ORD003707,CAMP0241,115.95,Web,meta
A000559,ORD002976,CAMP0073,73.4,Web,meta
A000560,ORD001492,CAMP0029,25.2,Web,google
A000561,ORD002289,CAMP0189,23.95,Web,meta
A000562,ORD000483,CAMP0125,41.76,Web,tiktok
A000563,ORD002633,CAMP0150,502.64,Mobile,tiktok
A000564,ORD002749,CAMP0068,13.39,Mobile,meta
A000565,ORD000214,CAMP0081,15.58,Web,google
A000566,ORD001063,CAMP0078,44.0,Mobile,tiktok
A000567,ORD001064,CAMP0218,174.48,Mobile,tiktok
A000568,ORD003099,CAMP0194,63.28,Web,snapchat
A000569,ORD003422,CAMP0139,41.57,Mobile,meta
A000570,ORD000464,CAMP0080,465.48,Web,tiktok
A000571,ORD001067,CAMP0100,123.7,Web,snapchat
A000572,ORD000447,CAMP0161,334.92,Mobile,meta
A000573,ORD001201,CAMP0200,64.66,Retail,tiktok
A000574,ORD001630,CAMP0157,397.16,Web,tiktok
A000575,ORD004747,CAMP0164,34.72,Web,meta
A000576,ORD002636,CAMP0160,11.97,Retail,snapchat
A000577,ORD002325,CAMP0236,55.02,Mobile,meta
A000578,ORD001771,CAMP0045,255.87,Mobile,tiktok
A000579,ORD000351,CAMP0075,50.16,Web,snapchat
A000580,ORD003501,CAMP0116,28.2,Mobile,google
A000581,ORD000103,CAMP0165,37.64,Mobile,snapchat
A000582,ORD002978,CAMP0212,88.0,Mobile,google
A000583,ORD002861,CAMP0118,164.3,Web,tiktok
A000584,ORD003657,CAMP0046,77.22,Retail,snapchat
A000585,ORD001207,CAMP0235,33.26,Web,google
A000586,ORD000876,CAMP0019,95.4,Retail,snapchat
A000587,ORD002206,CAMP0101,75.28,Retail,google
A000588,ORD003319,CAMP0171,198.45,Web,snapchat
A000589,ORD000683,CAMP0147,73.97,Web,meta
A000590,ORD001743,CAMP0243,201.32,Mobile,google
A000591,ORD001329,CAMP0167,18.22,Web,tiktok
A000592,ORD004887,CAMP0036,23.75,Retail,snapchat
A000593,ORD001024,CAMP0208,25.8,Web,tiktok
A000594,ORD001154,CAMP0163,43.64,Retail,google
A000595,ORD001714,CAMP0223,201.32,Mobile,snapchat
A000596,ORD001108,CAMP0160,38.94,Web,snapchat
A000597,ORD001167,CAMP0113,67.66,Retail,tiktok
A000598,ORD001602,CAMP0106,51.6,Web,snapchat
A000599,ORD004392,CAMP0038,135.64,Web,meta
A000600,ORD000052,CAMP0185,319.11,Web,snapchat
A000601,ORD002452,CAMP0245,82.15,Mobile,google
A000602,ORD003576,CAMP0143,79.79,Mobile,tiktok
A000603,ORD004930,CAMP0146,35.0,Mobile,meta
A000604,ORD004031,CAMP0055,20.85,Retail,meta
A000605,ORD003849,CAMP0049,446.56,Web,snapchat
A000606,ORD001251,CAMP0068,5.1,Web,snapchat
A000607,ORD000205,CAMP0141,22.69,Web,tiktok
A000608,ORD001820,CAMP0150,159.81,Mobile,meta
A000609,ORD003935,CAMP0177,13.5,Mobile,meta
A000610,ORD000271,CAMP0005,5.64,Web,meta
A000611,ORD002188,CAMP0233,15.25,Retail,google
A000612,ORD003826,CAMP0029,174.7,Mobile,tiktok
A000613,ORD003852,CAMP0248,4.23,Web,google
A000614,ORD004196,CAMP0037,188.58,Mobile,google
A000615,ORD004299,CAMP0154,209.85,Web,meta
A000616,ORD003371,CAMP0163,168.32,Mobile,meta
A000617,ORD003410,CAMP0027,104.79,Mobile,google
A000618,ORD001370,CAMP0041,40.24,Web,snapchat
A000619,ORD003956,CAMP0001,7.66,Mobile,google
A000620,ORD001548,CAMP0154,97.12,Mobile,meta
A000621,ORD000687,CAMP0121,234.46,Mobile,meta
A000622,ORD003239,CAMP0046,66.3,Retail,snapchat
A000623,ORD004421,CAMP0184,41.76,Web,tiktok
A000624,ORD003943,CAMP0239,130.08,Web,tiktok
A000625,ORD000143,CAMP0121,42.7,Retail,snapchat
A000626,ORD000302,CAMP0055,303.62,Mobile,meta
A000627,ORD004213,CAMP0049,23.34,Mobile,meta
A000628,ORD003014,CAMP0110,53.14,Web,tiktok
A000629,ORD004374,CAMP0032,131.82,Retail,tiktok
A000630,ORD001313,CAMP0015,15.58,Retail,meta
A000631,ORD003716,CAMP0109,65.04,Web,snapchat
A000632,ORD001912,CAMP0017,13.26,Web,snapchat
A000633,ORD001074,CAMP0051,117.8,Web,snapchat
A000634,ORD002819,CAMP0173,468.22,Mobile,snapchat
A000635,ORD000946,CAMP0163,87.58,Web,google
A000636,ORD004570,CAMP0205,190.89,Web,tiktok
A000637,ORD003780,CAMP0026,75.01,Web,tiktok
A000638,ORD000262,CAMP0074,14.93,Retail,google
A000639,ORD002517,CAMP0055,28.2,Web,meta
A000640,ORD000222,CAMP0163,18.88,Web,meta
A000641,ORD003259,CAMP0226,609.45,Mobile,meta
A000642,ORD002285,CAMP0204,278.19,Web,google
A000643,ORD002719,CAMP0147,4.42,Web,google
A000644,ORD000739,CAMP0083,36.44,Mobile,tiktok
A000645,ORD001100,CAMP0198,21.26,Mobile,tiktok
A000646,ORD003183,CAMP0136,35.74,Web,tiktok
A000647,ORD001020,CAMP0152,81.36,Mobile,snapchat
A000648,ORD000844,CAMP0230,553.8,Web,tiktok
A000649,ORD002220,CAMP0201,121.89,Web,snapchat
A000650,ORD004644,CAMP0234,59.28,Retail,meta
A000651,ORD004052,CAMP0043,69.77,Mobile,meta
A000652,ORD002736,CAMP0056,410.75,Web,snapchat
A000653,ORD002387,CAMP0213,71.71,Mobile,tiktok
A000654,ORD004180,CAMP0162,75.01,Retail,tiktok
A000655,ORD003294,CAMP0027,147.94,Web,meta
A000656,ORD003009,CAMP0111,110.96,Mobile,meta
A000657,ORD002036,CAMP0019,24.72,Web,meta
A000658,ORD003209,CAMP0171,4.42,Web,meta
A000659,ORD004428,CAMP0186,61.38,Mobile,tiktok
A000660,ORD000710,CAMP0021,195.2,Web,google
A000661,ORD003763,CAMP0204,101.56,Web,tiktok
A000662,ORD004005,CAMP0052,153.78,Retail,tiktok
A000663,ORD003171,CAMP0057,8.67,Web,tiktok
A000664,ORD003691,CAMP0188,82.1,Web,tiktok
A000665,ORD002118,CAMP0110,9.05,Web,tiktok
A000666,ORD000427,CAMP0145,12.65,Web,meta
A000667,ORD001840,CAMP0112,24.22,Mobile,google
A000668,ORD001644,CAMP0036,124.85,Web,snapchat
A000669,ORD004241,CAMP0153,319.16,Web,meta
A000670,ORD000331,CAMP0225,13.62,Mobile,snapchat
A000671,ORD003006,CAMP0028,11.89,Mobile,google
A000672,ORD004125,CAMP0067,5.64,Web,tiktok
A000673,ORD002755,CAMP0086,90.0,Web,tiktok
A000674,ORD003727,CAMP0012,206.25,Web,google
A000675,ORD000379,CAMP0125,16.39,Mobile,meta
A000676,ORD000200,CAMP0146,32.87,Mobile,meta
A000677,ORD004674,CAMP0216,9.05,Mobile,tiktok
A000678,ORD001904,CAMP0107,350.13,Mobile,google
A000679,ORD002315,CAMP0238,20.88,Web,google
A000680,ORD001697,CAMP0052,65.74,Mobile,snapchat
A000681,ORD000920,CAMP0079,21.27,Mobile,tiktok
A000682,ORD002244,CAMP0212,125.66,Web,meta
A000683,ORD000661,CAMP0173,15.36,Web,tiktok
A000684,ORD000950,CAMP0141,108.66,Web,meta
A000685,ORD000755,CAMP0007,183.0,Mobile,meta
A000686,ORD001451,CAMP0104,19.07,Web,google
A000687,ORD004274,CAMP0044,376.98,Retail,google
A000688,ORD000672,CAMP0197,85.08,Mobile,snapchat
A000689,ORD001381,CAMP0003,477.9,Web,snapchat
A000690,ORD000643,CAMP0002,80.76,Retail,tiktok
A000691,ORD001332,CAMP0175,46.89,Web,google
A000692,ORD003406,CAMP0060,190.45,Mobile,meta
A000693,ORD000136,CAMP0128,312.0,Mobile,google
A000694,ORD004204,CAMP0186,18.2,Web,snapchat
A000695,ORD003681,CAMP0245,54.33,Web,google
A000696,ORD004730,CAMP0104,71.31,Retail,meta
A000697,ORD004037,CAMP0075,5.1,Mobile,meta
A000698,ORD002011,CAMP0178,41.04,Retail,tiktok
A000699,ORD003608,CAMP0127,11.38,Web,tiktok
A000700,ORD001160,CAMP0188,65.04,Mobile,meta
A000701,ORD000223,CAMP0081,350.13,Web,google
A000702,ORD001953,CAMP0237,49.0,Mobile,snapchat
A000703,ORD002235,CAMP0246,7.49,Retail,google
A000704,ORD003421,CAMP0230,38.03,Mobile,snapchat
A000705,ORD001080,CAMP0119,114.52,Mobile,meta
A000706,ORD000679,CAMP0216,9.05,Mobile,tiktok
A000707,ORD001929,CAMP0039,27.15,Web,snapchat
A000708,ORD004139,CAMP0020,16.8,Web,google
A000709,ORD003428,CAMP0118,40.23,Web,google
A000710,ORD004609,CAMP0157,282.87,Web,snapchat
A000711,ORD004403,CAMP0157,21.93,Retail,google
A000712,ORD002648,CAMP0137,8.67,Mobile,meta
A000713,ORD004962,CAMP0146,7.35,Retail,google
A000714,ORD002733,CAMP0139,24.72,Web,meta
A000715,ORD000694,CAMP0011,44.52,Web,meta
A000716,ORD000996,CAMP0141,263.64,Web,google
A000717,ORD000560,CAMP0071,67.66,Retail,snapchat
A000718,ORD000229,CAMP0156,122.64,Web,meta
A000719,ORD001322,CAMP0082,67.67,Mobile,google
A000720,ORD001131,CAMP0186,235.74,Web,google
A000721,ORD002146,CAMP0103,301.98,Web,tiktok
A000722,ORD003412,CAMP0112,76.06,Mobile,google
A000723,ORD001143,CAMP0246,109.8,Web,meta
A000724,ORD001493,CAMP0110,100.95,Mobile,snapchat
A000725,ORD000080,CAMP0016,194.61,Mobile,meta
A000726,ORD001580,CAMP0022,92.76,Web,google
A000727,ORD001397,CAMP0079,28.2,Web,google
A000728,ORD002071,CAMP0241,5.1,Mobile,snapchat
A000729,ORD002767,CAMP0224,112.55,Web,meta
A000730,ORD004582,CAMP0083,235.74,Mobile,snapchat
A000731,ORD004721,CAMP0125,30.13,Mobile,tiktok
A000732,ORD002002,CAMP0199,215.13,Web,meta
A000733,ORD001694,CAMP0185,20.86,Web,google
A000734,ORD001905,CAMP0022,31.36,Web,google
A000735,ORD000775,CAMP0027,45.53,Web,tiktok
A000736,ORD003205,CAMP0008,41.14,Mobile,snapchat
A000737,ORD002012,CAMP0088,15.35,Mobile,tiktok
A000738,ORD003139,CAMP0203,25.39,Mobile,meta
A000739,ORD002278,CAMP0098,125.44,Web,tiktok
A000740,ORD002909,CAMP0104,30.69,Web,meta
A000741,ORD000326,CAMP0137,3.86,Retail,google
A000742,ORD003676,CAMP0121,52.2,Mobile,google
A000743,ORD004932,CAMP0143,12.28,Web,tiktok
A000744,ORD004047,CAMP0162,337.65,Web,snapchat
A000745,ORD003892,CAMP0242,946.45,Retail,snapchat
A000746,ORD002586,CAMP0247,117.54,Mobile,snapchat
A000747,ORD003471,CAMP0109,117.12,Web,tiktok
A000748,ORD002263,CAMP0151,23.75,Web,meta
A000749,ORD004650,CAMP0066,6.6,Mobile,meta
A000750,ORD001367,CAMP0084,76.14,Web,snapchat
A000751,ORD000906,CAMP0046,4.23,Web,snapchat
A000752,ORD001660,CAMP0119,31.7,Mobile,snapchat
A000753,ORD000914,CAMP0169,18.99,Web,google
A000754,ORD000292,CAMP0197,49.93,Retail,snapchat
A000755,ORD004105,CAMP0126,4.51,Mobile,meta
A000756,ORD003497,CAMP0104,60.6,Mobile,tiktok
A000757,ORD000556,CAMP0104,60.26,Web,google
A000758,ORD003561,CAMP0024,77.13,Mobile,tiktok
A000759,ORD002936,CAMP0098,30.26,Web,snapchat
A000760,ORD000234,CAMP0139,60.64,Web,tiktok
A000761,ORD001069,CAMP0153,31.47,Web,google
A000762,ORD001810,CAMP0075,101.38,Web,snapchat
A000763,ORD001903,CAMP0176,151.81,Web,snapchat
A000764,ORD003123,CAMP0122,61.0,Web,google
A000765,ORD002986,CAMP0195,32.52,Web,snapchat
A000766,ORD001804,CAMP0119,61.0,Web,meta
A000767,ORD004829,CAMP0239,30.04,Web,google
A000768,ORD000811,CAMP0249,583.6,Web,tiktok
A000769,ORD002322,CAMP0043,54.24,Mobile,tiktok
A000770,ORD004708,CAMP0017,38.24,Mobile,meta
A000771,ORD002453,CAMP0003,147.95,Web,tiktok
A000772,ORD002954,CAMP0201,207.8,Web,meta
A000773,ORD004413,CAMP0102,48.6,Web,meta
A000774,ORD002650,CAMP0188,68.86,Web,meta
A000775,ORD003182,CAMP0079,45.39,Retail,meta
A000776,ORD004194,CAMP0059,111.97,Retail,snapchat
A000777,ORD001189,CAMP0021,69.72,Web,tiktok
A000778,ORD002433,CAMP0164,9.02,Mobile,tiktok
A000779,ORD003632,CAMP0249,50.1,Web,google
A000780,ORD000194,CAMP0073,33.93,Retail,snapchat
A000781,ORD001215,CAMP0066,235.74,Mobile,snapchat
A000782,ORD003460,CAMP0210,17.82,Mobile,tiktok
A000783,ORD004220,CAMP0125,351.64,Web,google
A000784,ORD004659,CAMP0222,107.52,Web,tiktok
A000785,ORD002319,CAMP0069,58.72,Mobile,meta
A000786,ORD004347,CAMP0163,17.34,Mobile,meta
A000787,ORD002971,CAMP0035,17.5,Retail,tiktok
A000788,ORD003685,CAMP0073,111.64,Web,snapchat
A000789,ORD003338,CAMP0064,90.04,Web,meta
A000790,ORD004734,CAMP0200,30.82,Web,google
A000791,ORD004828,CAMP0128,200.7,Mobile,tiktok
A000792,ORD002196,CAMP0233,9.26,Mobile,tiktok
A000793,ORD003787,CAMP0150,92.63,Mobile,tiktok
A000794,ORD002053,CAMP0018,60.64,Mobile,tiktok
A000795,ORD001595,CAMP0213,56.85,Mobile,snapchat
A000796,ORD002019,CAMP0138,375.68,Web,google
A000797,ORD004745,CAMP0021,127.78,Mobile,google
A000798,ORD001793,CAMP0207,386.1,Web,google
A000799,ORD004557,CAMP0142,5.86,Web,snapchat
A000800,ORD001398,CAMP0100,51.26,Web,tiktok
A000801,ORD001870,CAMP0047,284.2,Web,tiktok
A000802,ORD000884,CAMP0199,101.52,Web,tiktok
A000803,ORD002236,CAMP0058,45.02,Retail,snapchat
A000804,ORD000655,CAMP0032,34.2,Web,meta
A000805,ORD001421,CAMP0065,10.06,Mobile,snapchat
A000806,ORD000068,CAMP0063,174.9,Web,tiktok
A000807,ORD004154,CAMP0014,62.72,Web,google
A000808,ORD004921,CAMP0076,320.68,Web,tiktok
A000809,ORD000076,CAMP0182,19.12,Web,google
A000810,ORD003013,CAMP0113,29.3,Web,meta
A000811,ORD001244,CAMP0241,3.83,Web,snapchat
A000812,ORD000561,CAMP0205,114.27,Mobile,google
A000813,ORD004027,CAMP0178,31.48,Retail,snapchat
A000814,ORD003130,CAMP0041,85.02,Web,tiktok
A000815,ORD001958,CAMP0206,50.2,Mobile,tiktok
A000816,ORD001290,CAMP0172,195.2,Mobile,snapchat
A000817,ORD003559,CAMP0172,67.66,Mobile,meta
A000818,ORD003280,CAMP0003,55.84,Retail,google
A000819,ORD002120,CAMP0208,96.03,Mobile,snapchat
A000820,ORD000139,CAMP0111,17.43,Retail,tiktok
A000821,ORD002051,CAMP0086,76.28,Web,meta
A000822,ORD004297,CAMP0220,7.78,Web,meta
A000823,ORD001621,CAMP0194,78.08,Retail,snapchat
A000824,ORD002217,CAMP0070,54.33,Web,tiktok
A000825,ORD004113,CAMP0011,51.09,Mobile,google
A000826,ORD000615,CAMP0204,35.74,Mobile,google
A000827,ORD001589,CAMP0050,1014.5,Mobile,meta
A000828,ORD003969,CAMP0234,88.0,Mobile,google
A000829,ORD003637,CAMP0093,78.36,Web,snapchat
A000830,ORD000782,CAMP0078,154.24,Retail,meta
A000831,ORD002584,CAMP0124,24.24,Web,tiktok
A000832,ORD001757,CAMP0207,49.18,Web,google
A000833,ORD000477,CAMP0084,293.61,Mobile,google
A000834,ORD004323,CAMP0138,11.76,Mobile,snapchat
A000835,ORD003835,CAMP0178,63.81,Retail,snapchat
A000836,ORD004941,CAMP0121,49.94,Web,meta
A000837,ORD000038,CAMP0003,21.27,Web,tiktok
A000838,ORD001723,CAMP0069,42.35,Web,google
A000839,ORD002415,CAMP0054,14.82,Mobile,tiktok
A000840,ORD000048,CAMP0082,7.04,Web,google
A000841,ORD003078,CAMP0235,43.44,Web,google
A000842,ORD002034,CAMP0087,51.8,Web,tiktok
A000843,ORD003841,CAMP0098,66.9,Mobile,snapchat
A000844,ORD001659,CAMP0235,225.03,Web,google
A000845,ORD004532,CAMP0168,120.69,Web,tiktok
A000846,ORD002840,CAMP0109,110.96,Web,tiktok
A000847,ORD001838,CAMP0003,41.76,Web,snapchat
A000848,ORD003776,CAMP0033,64.25,Mobile,meta
A000849,ORD004172,CAMP0072,90.12,Mobile,meta
A000850,ORD000245,CAMP0131,60.24,Web,google
A000851,ORD003104,CAMP0233,41.97,Mobile,tiktok
A000852,ORD002955,CAMP0046,85.02,Mobile,google
A000853,ORD000171,CAMP0245,17.36,Web,tiktok
A000854,ORD002858,CAMP0232,301.12,Retail,tiktok
A000855,ORD004624,CAMP0234,2.96,Retail,tiktok
A000856,ORD003254,CAMP0153,6.7,Mobile,tiktok
A000857,ORD003172,CAMP0005,66.04,Mobile,snapchat
A000858,ORD003328,CAMP0046,125.4,Mobile,google
A000859,ORD003527,CAMP0241,18.94,Web,meta
A000860,ORD002365,CAMP0022,2.57,Mobile,google
A000861,ORD000823,CAMP0246,87.5,Retail,google
A000862,ORD004618,CAMP0174,48.88,Mobile,tiktok
A000863,ORD001126,CAMP0066,98.8,Web,meta
A000864,ORD000730,CAMP0032,8.8,Web,tiktok
A000865,ORD001340,CAMP0147,638.9,Mobile,snapchat
A000866,ORD002643,CAMP0126,14.84,Retail,meta
A000867,ORD003917,CAMP0110,41.91,Mobile,tiktok
A000868,ORD001211,CAMP0245,34.43,Web,meta
A000869,ORD002296,CAMP0113,104.82,Web,meta
A000870,ORD003112,CAMP0240,297.34,Mobile,tiktok
A000871,ORD001973,CAMP0208,53.05,Web,google
A000872,ORD002137,CAMP0106,36.64,Web,google
A000873,ORD001303,CAMP0110,14.08,Web,meta
A000874,ORD004748,CAMP0047,40.72,Web,snapchat
A000875,ORD004972,CAMP0133,52.15,Mobile,snapchat
A000876,ORD002888,CAMP0103,66.15,Mobile,tiktok
A000877,ORD002957,CAMP0105,44.55,Mobile,snapchat
A000878,ORD002795,CAMP0180,21.87,Web,tiktok
A000879,ORD000439,CAMP0085,50.69,Mobile,meta
A000880,ORD003262,CAMP0234,127.2,Web,tiktok
A000881,ORD003808,CAMP0117,107.52,Web,meta
A000882,ORD000865,CAMP0135,27.48,Web,tiktok
A000883,ORD000083,CAMP0213,597.4,Web,google
A000884,ORD002204,CAMP0158,7.04,Mobile,snapchat
A000885,ORD001404,CAMP0049,49.93,Retail,google
A000886,ORD002172,CAMP0248,123.28,Web,snapchat
A000887,ORD000576,CAMP0156,130.86,Web,tiktok
A000888,ORD000028,CAMP0022,30.32,Web,tiktok
A000889,ORD003450,CAMP0055,183.96,Mobile,meta
A000890,ORD002803,CAMP0229,9.05,Web,meta
A000891,ORD000172,CAMP0150,135.32,Retail,google
A000892,ORD004785,CAMP0179,202.9,Web,meta
A000893,ORD003951,CAMP0190,378.58,Retail,tiktok
A000894,ORD000763,CAMP0095,48.24,Retail,tiktok
A000895,ORD000116,CAMP0074,44.68,Web,google
A000896,ORD004593,CAMP0241,18.55,Web,snapchat
A000897,ORD000978,CAMP0130,389.73,Web,tiktok
A000898,ORD002130,CAMP0147,225.87,Mobile,google
A000899,ORD003440,CAMP0113,125.75,Web,tiktok
A000900,ORD001555,CAMP0125,201.32,Web,tiktok
A000901,ORD004657,CAMP0161,38.46,Web,tiktok
A000902,ORD000272,CAMP0001,25.58,Retail,google
A000903,ORD000995,CAMP0215,27.3,Web,tiktok
A000904,ORD000840,CAMP0229,166.44,Mobile,snapchat
A000905,ORD003788,CAMP0242,42.15,Retail,google
A000906,ORD000341,CAMP0141,40.86,Mobile,google
A000907,ORD004843,CAMP0246,115.9,Retail,snapchat
A000908,ORD002661,CAMP0047,99.21,Web,tiktok
A000909,ORD004716,CAMP0062,209.85,Web,google
A000910,ORD003392,CAMP0015,22.22,Web,snapchat
A000911,ORD003971,CAMP0152,242.4,Mobile,google
A000912,ORD004176,CAMP0117,7.79,Web,meta
A000913,ORD004719,CAMP0193,75.52,Web,meta
A000914,ORD004660,CAMP0103,2.57,Mobile,tiktok
A000915,ORD004911,CAMP0216,6.0,Mobile,meta
A000916,ORD003077,CAMP0132,220.12,Mobile,meta
A000917,ORD000651,CAMP0131,28.59,Retail,meta
A000918,ORD002854,CAMP0193,17.6,Web,google
A000919,ORD000100,CAMP0152,33.33,Web,meta
A000920,ORD003575,CAMP0004,127.05,Mobile,tiktok
A000921,ORD004620,CAMP0184,49.44,Retail,google
A000922,ORD003546,CAMP0175,121.72,Web,google
A000923,ORD004815,CAMP0142,93.92,Web,meta
A000924,ORD003468,CAMP0249,17.7,Mobile,snapchat
A000925,ORD004043,CAMP0182,31.48,Web,tiktok
A000926,ORD001741,CAMP0116,75.28,Web,meta
A000927,ORD003116,CAMP0060,32.33,Mobile,google
A000928,ORD000230,CAMP0064,14.08,Mobile,tiktok
A000929,ORD000213,CAMP0027,23.29,Mobile,tiktok
A000930,ORD000003,CAMP0193,104.7,Web,meta
A000931,ORD003480,CAMP0027,1821.28,Web,tiktok
A000932,ORD000597,CAMP0030,22.65,Web,tiktok
A000933,ORD002583,CAMP0103,13.57,Retail,tiktok
A000934,ORD001428,CAMP0156,392.9,Web,snapchat
A000935,ORD003170,CAMP0211,26.52,Web,google
A000936,ORD003418,CAMP0185,36.0,Mobile,tiktok
A000937,ORD001982,CAMP0211,37.88,Retail,snapchat
A000938,ORD002261,CAMP0095,31.7,Web,meta
A000939,ORD004608,CAMP0204,21.64,Mobile,tiktok
A000940,ORD003521,CAMP0244,5.86,Web,tiktok
A000941,ORD002093,CAMP0185,89.73,Mobile,tiktok
A000942,ORD001330,CAMP0013,25.99,Web,google
A000943,ORD001483,CAMP0197,100.05,Web,meta
A000944,ORD001400,CAMP0181,15.32,Web,meta
A000945,ORD003551,CAMP0210,34.2,Web,tiktok
A000946,ORD004845,CAMP0063,77.42,Retail,snapchat
A000947,ORD003367,CAMP0121,32.0,Mobile,google
A000948,ORD003443,CAMP0141,14.48,Retail,snapchat
A000949,ORD000834,CAMP0161,522.4,Web,meta
A000950,ORD004996,CAMP0024,54.48,Web,meta
A000951,ORD001342,CAMP0006,266.35,Web,tiktok
A000952,ORD004687,CAMP0057,121.2,Web,snapchat
A000953,ORD004255,CAMP0019,9.04,Web,google
A000954,ORD004506,CAMP0142,61.0,Web,snapchat
A000955,ORD001822,CAMP0097,192.06,Retail,meta
A000956,ORD004900,CAMP0004,22.77,Retail,google
A000957,ORD002448,CAMP0185,156.58,Web,meta
A000958,ORD002509,CAMP0134,377.25,Web,meta
A000959,ORD002086,CAMP0227,64.66,Web,tiktok
A000960,ORD004076,CAMP0146,14.68,Web,google
A000961,ORD003503,CAMP0099,52.44,Mobile,google
A000962,ORD000947,CAMP0113,5.27,Web,snapchat
A000963,ORD001798,CAMP0187,15.81,Web,tiktok
A000964,ORD000072,CAMP0001,32.0,Retail,tiktok
A000965,ORD001480,CAMP0022,113.45,Web,google
A000966,ORD003953,CAMP0212,40.72,Mobile,snapchat
A000967,ORD003307,CAMP0238,86.45,Web,google
A000968,ORD000626,CAMP0027,84.16,Mobile,google
A000969,ORD002961,CAMP0161,27.24,Web,meta
A000970,ORD002385,CAMP0036,16.7,Web,tiktok
A000971,ORD001923,CAMP0100,34.72,Mobile,google
A000972,ORD001086,CAMP0225,212.74,Mobile,meta
A000973,ORD000838,CAMP0075,10.44,Web,meta
A000974,ORD004666,CAMP0237,15.36,Mobile,meta
